geneID	Chr	Start	End	Strand	Length	min	max	mean	sd	overQC
Region1	chr2L	17384	18681	.	1298	10.5409982644056	11.0459058433056	10.771181956192	0.1977862524422	6
Region2	chr2L	20214	21391	.	1178	10.4304915426887	11.0101047248821	10.6640490640108	0.2498105040279	6
Region3	chr2L	26270	27063	.	794	9.29687391086429	9.74778395644527	9.50187555311833	0.208868849464671	6
Region4	chr2L	27347	29393	.	2047	10.3343824504942	10.8657079708903	10.6637676976901	0.197108867071092	6
Region5	chr2L	34695	35189	.	495	7.11142049474644	7.5912758969311	7.33972639238617	0.186342641038481	6
Region6	chr2L	35908	36490	.	583	7.68977436497991	8.10112625237954	7.86819678070673	0.158861348969196	6
Region7	chr2L	67055	67305	.	251	7.56840116840447	7.9408003132157	7.73562124935882	0.154850679227279	6
Region8	chr2L	88477	91752	.	3276	10.2722075144715	11.9754728647157	11.3151577424022	0.792839999627251	6
Region9	chr2L	94740	95267	.	528	8.18911232330558	8.60330696845025	8.42570458652505	0.173115235918961	6
Region10	chr2L	102392	102939	.	548	9.17616031512233	9.43839287375039	9.29992219008333	0.0984881086122538	6
Region11	chr2L	106200	106789	.	590	8.91753430415561	9.06529106926937	8.98495002738878	0.0572006380118693	6
Region12	chr2L	107378	109091	.	1714	10.2535893933871	10.8521722445439	10.5124763514701	0.226551783607015	6
Region13	chr2L	114663	115221	.	559	8.22989336696613	8.80995878383174	8.53987294477242	0.251535103217691	6
Region14	chr2L	143350	143800	.	451	8.23706015984782	8.51383065037535	8.37806967127742	0.114675667979936	6
Region15	chr2L	182863	183522	.	660	8.58149922821153	9.01878249652266	8.78641229618025	0.150598919807683	6
Region16	chr2L	203792	204221	.	430	8.59427356248768	8.86948604058371	8.72985377896054	0.10591128551319	6
Region17	chr2L	207421	207910	.	490	8.52794398037323	8.72849508547885	8.61914692093421	0.0720483510938816	6
Region18	chr2L	219764	220488	.	725	8.64223485452151	8.82856903290264	8.759098210787	0.0662902532288262	6
Region19	chr2L	220716	221904	.	1189	9.65629845247671	9.93562692392333	9.8063924402412	0.101692678796449	6
Region20	chr2L	222494	225189	.	2696	10.9810353442724	11.401470737317	11.1375308906695	0.154728355176297	6
Region21	chr2L	244624	245052	.	429	7.69683747011875	7.91344374213308	7.80451362456509	0.0881051688900388	6
Region22	chr2L	245455	246592	.	1138	9.18492017149999	9.5134165962563	9.3480869452612	0.113698824149725	6
Region23	chr2L	246879	251288	.	4410	12.0030924931954	12.3615193634394	12.170650716673	0.12307227998924	6
Region24	chr2L	251891	252364	.	474	8.29269155809348	8.52164828917303	8.38233912123513	0.0773690251872635	6
Region25	chr2L	271005	272257	.	1253	9.72455812567147	10.1215973528412	9.97680307356122	0.133765406672248	6
Region26	chr2L	273303	274380	.	1078	9.67842927814279	10.0424492549163	9.77779731806635	0.143496976727187	6
Region27	chr2L	276759	281526	.	4768	11.9488106478718	12.0193126046602	11.9840838660337	0.0275661248478741	6
Region28	chr2L	281834	283704	.	1871	10.0781799436198	10.5277654359284	10.3440226106357	0.160675867256106	6
Region29	chr2L	284482	285700	.	1219	9.04375382026194	9.48317164424075	9.28911333739165	0.16520426907311	6
Region30	chr2L	292468	292813	.	346	7.57909857533805	7.63803469170198	7.61252787096104	0.022609117033508	6
Region31	chr2L	293995	294681	.	687	9.70655238058936	9.95036057236591	9.82435102448139	0.100842575848994	6
Region32	chr2L	295046	295712	.	667	9.56703241735989	10.2273007554385	9.89099629208006	0.246845304112205	6
Region33	chr2L	297901	298484	.	584	8.77526205661933	8.92215136812322	8.8627227596409	0.0510557019524715	6
Region34	chr2L	403672	404712	.	1041	8.94430901590187	9.20015853966324	9.13310265774297	0.0979328730356273	6
Region35	chr2L	413973	415693	.	1721	10.3248596906025	10.5868593171351	10.4671999199354	0.101874543146959	6
Region36	chr2L	418892	420479	.	1588	10.6918863853371	10.9593525770213	10.8138557876198	0.0975222765302775	6
Region37	chr2L	420905	421421	.	517	8.86128100070696	9.0031792370204	8.93652041567458	0.0466583798668211	6
Region38	chr2L	431279	431708	.	430	8.50129561553947	8.91552787374741	8.6739403145973	0.137545576578123	6
Region39	chr2L	441220	442900	.	1681	9.6702407090847	10.8199995149045	10.1778570526238	0.472066786865968	6
Region40	chr2L	452493	452973	.	481	8.07143636141996	8.38211385154544	8.2648541454882	0.119344467405944	6
Region41	chr2L	453188	453694	.	507	8.14623685470915	8.44289590634813	8.26894717334882	0.110384103033163	6
Region42	chr2L	519452	520494	.	1043	8.25202685448614	9.70954164541888	8.82487141526864	0.688445685193058	6
Region43	chr2L	541852	542605	.	754	9.64224754721745	9.97258357904622	9.78076809446903	0.114827027926411	6
Region44	chr2L	542993	544648	.	1656	10.0432493061665	11.5569107215835	10.5145684782445	0.661408778884101	6
Region45	chr2L	564208	564664	.	457	8.03178343151745	8.40604662270981	8.22114410689328	0.148268949414566	6
Region46	chr2L	567483	568945	.	1463	9.83878827991223	10.1979639405138	10.0301588820746	0.130568981041001	6
Region47	chr2L	573690	575013	.	1324	9.28168683157217	9.84345954284149	9.56997484326381	0.229524865248257	6
Region48	chr2L	602613	603309	.	697	8.53595794785412	9.19194808525988	8.90861351488067	0.274911070547295	6
Region50	chr2L	815402	816503	.	1102	9.26418984224348	9.6705330676135	9.52988081514409	0.14936261024066	6
Region51	chr2L	819943	820529	.	587	8.52842475149052	9.08191763915277	8.82955294865507	0.207524406433545	6
