# Program:featureCounts v2.0.0; Command:"featureCounts" "-s" "2" "-t" "ppc" "-O" "-g" "transcript_id" "-a" "references/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "counts.ppc.txt" "bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam" "bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_dmel/PRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/PRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R1_trimmed.dmel.bowtie2.sorted.bam	bam_dmel/qPRO_naive_R2_trimmed.dmel.bowtie2.sorted.bam
FBtr0347010	211000022280328	9427	9577	-	151	0	0	0	0
FBtr0078171	2L	18470	18620	-	151	207	383	74	87
FBtr0330655	2L	21276	21426	-	151	209	346	78	84
FBtr0113008	2L	25055	25205	-	151	2	0	2	0
FBtr0309229	2L	59168	59318	-	151	71	101	18	7
FBtr0309226	2L	65304	65454	-	151	4	2	0	0
FBtr0306539	2L	66432	66582	+	151	13	6	0	0
FBtr0306536	2L	66993	67143	+	151	473	694	15	10
FBtr0306537	2L	66993	67143	+	151	473	694	15	10
FBtr0306540	2L	71707	71857	+	151	9	18	0	0
FBtr0078101	2L	72337	72487	+	151	12	24	12	26
FBtr0331680	2L	73435	73585	+	151	5	20	0	2
FBtr0301733	2L	74079	74229	+	151	6	5	0	6
FBtr0306541	2L	76298	76448	+	151	1	3	0	0
FBtr0290323	2L	87287	87437	-	151	680	1520	112	102
FBtr0330637	2L	87287	87437	-	151	680	1520	112	102
FBtr0078103	2L	94689	94839	+	151	221	350	33	49
FBtr0330636	2L	102330	102480	+	151	58	102	28	24
FBtr0301452	2L	106632	106782	-	151	80	145	19	8
FBtr0089437	2L	106853	107003	+	151	1	1	1	3
FBtr0089429	2L	107711	107861	+	151	55	37	3	0
FBtr0308091	2L	107711	107861	+	151	55	37	3	0
FBtr0089428	2L	107711	107861	+	151	55	37	3	0
FBtr0089432	2L	107887	108037	+	151	220	451	48	82
FBtr0089430	2L	107887	108037	+	151	220	451	48	82
FBtr0089433	2L	108039	108189	+	151	677	1263	16	26
FBtr0089434	2L	108083	108233	+	151	670	1212	11	21
FBtr0089436	2L	109544	109694	+	151	4	16	0	5
FBtr0330639	2L	114676	114826	+	151	65	97	9	1
FBtr0078160	2L	116388	116538	-	151	1	3	0	0
FBtr0100307	2L	120531	120681	-	151	51	99	0	3
FBtr0078157	2L	120531	120681	-	151	51	99	0	3
FBtr0100310	2L	120531	120681	-	151	51	99	0	3
FBtr0078158	2L	120642	120792	-	151	5	10	0	0
FBtr0078156	2L	121654	121804	-	151	143	368	180	211
FBtr0100379	2L	129145	129295	-	151	1296	2744	33	48
FBtr0078153	2L	130691	130841	-	151	4	4	0	0
FBtr0300568	2L	132027	132177	+	151	438	924	60	45
FBtr0078114	2L	132027	132177	+	151	438	924	60	45
FBtr0346127	2L	139488	139638	-	151	12	27	2	0
FBtr0302194	2L	140892	141042	-	151	4	10	0	0
FBtr0302195	2L	140892	141042	-	151	4	10	0	0
FBtr0330644	2L	142472	142622	-	151	9	17	0	0
FBtr0300987	2L	142991	143141	-	151	12	23	0	0
FBtr0330643	2L	153200	153350	-	151	32	59	6	3
FBtr0078147	2L	155205	155355	-	151	74	89	5	8
FBtr0340650	2L	155979	156129	+	151	22	55	7	22
FBtr0078119	2L	156099	156249	+	151	139	311	17	39
FBtr0330652	2L	158982	159132	+	151	475	1116	170	165
FBtr0332336	2L	158982	159132	+	151	475	1116	170	165
FBtr0078121	2L	158982	159132	+	151	475	1116	170	165
FBtr0330653	2L	182770	182920	+	151	124	207	126	86
FBtr0332337	2L	182770	182920	+	151	124	207	126	86
FBtr0078124	2L	203729	203879	+	151	22	61	12	62
FBtr0308246	2L	206697	206847	-	151	30	45	7	16
FBtr0332338	2L	207129	207279	+	151	4	6	2	2
FBtr0078146	2L	207197	207347	-	151	98	149	3	3
FBtr0332339	2L	207356	207506	+	151	97	180	5	28
FBtr0078125	2L	207356	207506	+	151	97	180	5	28
FBtr0078145	2L	221862	222012	-	151	1226	2283	225	271
