EnhancerID	Chr	ATAC_Start	ATAC_End	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	EnhancerDistance	PROseq_Classification	ATACseq_Classification	name	geneFunc	score	geneName	geneFuncFullText
Region98	chr2L	430887	431959	FBgn0004583	chr2L	438425	447246	6465	Time Up	Toll10b Down	Q07436	Protein expanded	1000	ex	<ul><li>Activates the Hippo/SWH (Sav/Wts/Hpo) signaling pathway, a signaling pathway that plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis (PubMed:8269855, PubMed:20159598, PubMed:27462444, PubMed:26954546). The core of this pathway is composed of a kinase cascade wherein Hippo (Hpo), in complex with its regulatory protein Salvador (Sav), phosphorylates and activates Warts (Wts) in complex with its regulatory protein Mats, which in turn phosphorylates and inactivates the Yorkie (Yki) oncoprotein. Ex acts synergistically along with Mer and Kibra to regulate the Hippo signaling pathway (PubMed:20159598). Involved in the control of cell proliferation in imaginal disks (PubMed:8269855, PubMed:27462444). May bind to certain proteins of signal transduction pathways by interaction with their SH3 domains (PubMed:20159598). Required for apical localization of Schip1 (PubMed:26954546).</ul>
Region149	chr2L	1066045	1067117	FBgn0003310	chr2L	1052041	1062146	3898	Time Up	Toll10b Down	P42519	Protein Star	1000	S	<ul><li>Involved in EGF receptor signaling. Has an early role in photoreceptor development. Interacts with the receptor torpedo in the eye.</ul>
Region150	chr2L	1067653	1068987	FBgn0003310	chr2L	1052041	1062146	5506	Time Up	Gd7 Up	P42519	Protein Star	1000	S	<ul><li>Involved in EGF receptor signaling. Has an early role in photoreceptor development. Interacts with the receptor torpedo in the eye.</ul>
Region195	chr2L	1679113	1679464	FBgn0011570	chr2L	1705112	1706224	25647	Toll10b Up	Toll9 Down	P48603	F-actin-capping protein subunit beta	1000	cpb	<ul><li>F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments.</ul>
Region196	chr2L	1679686	1680314	FBgn0011570	chr2L	1705112	1706224	24797	Toll10b Up	Gd7 Up	P48603	F-actin-capping protein subunit beta	1000	cpb	<ul><li>F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments.</ul>
Region229	chr2L	2162298	2164218	FBgn0000097	chr2L	2158168	2160491	1806	Time Up	Time Up	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region230	chr2L	2164421	2165493	FBgn0000097	chr2L	2158168	2160491	3929	Time Up	Time Up	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region231	chr2L	2172213	2172892	FBgn0000097	chr2L	2158168	2160491	11721	Time Up	Toll9 Up	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region254	chr2L	2460885	2462662	FBgn0000490	chr2L	2455071	2458557	2327	Gd7 Up	Gd7 Up	P07713	Protein decapentaplegic	1000	dpp	<ul><li>Required during oogenesis for eggshell patterning and dorsal/ventral patterning of the embryo. Acts as a morphogen during embryogenesis to pattern the dorsal/ventral axis, specifying dorsal ectoderm and amnioserosa cell fate within the dorsal half of the embryo; this activity is antagonized by binding to sog and tsg. Induces the formation of visceral mesoderm and the heart in early embryos. Required later in embryogenesis for dorsal closure and patterning of the hindgut. Also functions postembryonically as a long-range morphogen during imaginal disk development; is responsible for the progression of the morphogenetic furrow during eye development. Patterns the wing imaginal disk along its anterior/posterior axis and has a role in positioning pro-veins. Also required to subdivide the wing disk along the proximal/distal axis into body wall (notum) and wing. Ensures the correct architecture of wing epithelial cells. Has multiple roles in the developing tracheal system, controlling directed tracheal cell migration during embryogenesis and later specifying the fate of fusion cells in the tracheal branches. Required for viability of larvae. Essential for the maintenance and division of germline stem cells in the ovary. Signals via the type I receptor tkv, the type II receptor punt, and in some tissues via the type I receptor sax, in a signaling cascade that leads to activation and repression of target genes.</ul>
Region323	chr2L	3476356	3476963	FBgn0261560	chr2L	3478616	3479390	1652	Gd7 Up	Time Up	Q9XZ56	Eukaryotic translation initiation factor 4E-binding protein	1000	Thor	<ul><li>Repressor of translation initiation that regulates eIF4E1 activity by preventing its assembly into the eIF4F complex (PubMed:11389445, PubMed:19804760, PubMed:25702871). Hypophosphorylated form competes with eIF4G1 and strongly binds to eIF4E1, leading to repress translation (PubMed:25702871). In contrast, hyperphosphorylated form dissociates from eIF4E1, allowing interaction between eIF4G1 and eIF4E1, leading to initiation of translation (PubMed:25702871). Acts as a regulator of various biological processes, such as innate immunity, cell growth or synaptic transmission (PubMed:10811906, PubMed:11389445, PubMed:27525480). Acts downstream of phosphoinositide-3-kinase (PI3K) to regulate cell growth (PubMed:11389445). Extends lifespan upon dietary restriction by regulating the mitochondrial translation (PubMed:19804760). Acts as a regulator of lifespan in response to cold by regulating the mitochondrial translation (PubMed:28827349). Acts as a negative regulator of presynaptic release of neurotransmitter in motor neurons: Thor expression is induced in response to insulin signaling, leading to prevent of translation of complexin (cpx), a protein known to regulate the exocytosis of synaptic vesicles (PubMed:27525480). Acts as a negative regulator of synaptic strength at the neuromuscular junction: Thor expression in response to acute fasting prevents translation, thereby suppressing retrograde synaptic enhancement (PubMed:27916456).</ul>
