geneID	Chr	Start	End	Strand	Length	min	max	mean	sd	overQC
Region53	chr2L	224	6008	.	5785	13.8843402463431	14.7598055585247	14.3735640490438	0.183099696611522	27
Region54	chr2L	18442	18705	.	264	11.397158988864	12.1307787604368	11.7134317688828	0.217769494011596	27
Region55	chr2L	27035	27519	.	485	10.4030429303748	11.4917370180293	10.9923415991154	0.326379461849676	27
Region56	chr2L	28009	29052	.	1044	10.9654906503015	12.3470324586315	11.817670952544	0.403730614049067	27
Region57	chr2L	35512	35929	.	418	10.576825572117	11.3853600728713	11.025687175795	0.237358619880313	27
Region58	chr2L	66674	67518	.	845	12.3646949170913	12.677412808621	12.5065451531456	0.0894091712641697	27
Region59	chr2L	89189	89518	.	330	9.05389085271098	10.8523869237504	9.81395902341705	0.539129304834946	27
Region60	chr2L	90106	90445	.	340	8.87072361798758	10.5344554058915	9.57664198927542	0.486762562899899	27
Region61	chr2L	91221	91973	.	753	10.8252337646865	12.2919389376518	11.5306400954539	0.501044540291911	27
Region62	chr2L	102167	102646	.	480	10.7940247805306	11.2060640023189	10.9941609292397	0.141060627086172	27
Region63	chr2L	107736	108386	.	651	11.6565681972991	11.9626397424412	11.7881291382499	0.0896155798070325	27
Region64	chr2L	114532	114855	.	324	9.79387345066469	10.5607355090969	10.1357867627043	0.230820576209969	27
Region65	chr2L	155063	155938	.	876	11.7136727186375	12.0401637725677	11.8598914211672	0.0819662239179335	27
Region66	chr2L	158885	159311	.	427	11.6801372340399	12.0028319073637	11.8295347423774	0.0663092274375647	27
Region67	chr2L	160417	162272	.	1856	13.5176403290112	14.2375857800595	13.8827355591026	0.216031966847541	27
Region68	chr2L	165473	165923	.	451	11.0726455062285	11.6426257215675	11.3296771036945	0.17264164281901	27
Region69	chr2L	166163	167088	.	926	12.4662329940336	12.9554113214506	12.7143486038711	0.14373841009275	27
Region70	chr2L	207184	207645	.	462	11.3854497085425	11.8758607120534	11.5659961121464	0.12393739174918	27
Region71	chr2L	220420	220886	.	467	11.8751933319943	12.1557093893159	12.0117960151072	0.0826366967295501	27
Region72	chr2L	221620	224740	.	3121	14.1607518583784	14.7150807773474	14.3560178282935	0.107502398414951	27
Region73	chr2L	224978	225429	.	452	10.645614060865	11.4048777879228	11.0139056047827	0.233747754690354	27
Region74	chr2L	246472	247148	.	677	12.1491701956879	12.5423151576006	12.3503978727445	0.111590460460064	27
Region75	chr2L	247430	247810	.	381	10.7028156179526	11.3723583101793	10.9817399002577	0.159525008861851	27
Region76	chr2L	248757	249585	.	829	12.3549412397205	12.8087707553328	12.5257879803992	0.0944833948160582	27
Region77	chr2L	249822	251232	.	1411	12.5572357280871	12.9447104814037	12.7123640602536	0.105325610200524	27
Region78	chr2L	252153	252470	.	318	10.4305436785903	10.7104599342686	10.5505978780063	0.0666534455343308	27
Region79	chr2L	273416	273935	.	520	11.0975164564222	11.6415787957798	11.3725085051733	0.101387227851237	27
Region80	chr2L	277007	278241	.	1235	12.5166229528759	12.9657242298185	12.6176370211515	0.0989273106169394	27
