Geneid	Chr	Start	End	Strand	Length	factor	direction	Gd7	Time	Toll10b	Toll9
Region53	chr2L	224	6008	.	5785	Toll10b	Up	-0.268591611485486	0.264621494384323	0.500428332282284	-0.334923722041427
Region54	chr2L	18442	18705	.	264	Gd7	Down	-1.56348496203549	0.491645116103909	1.48751334963021	-0.00363067960097545
Region55	chr2L	27035	27519	.	485	Time	Down	0.784106728955262	-1.60948446169588	-1.00175745613717	0.350950763470496
Region56	chr2L	28009	29052	.	1044	Toll10b	Down	1.30844286894968	-1.32682484438574	-2.14209302480517	1.22785858957269
Region57	chr2L	35512	35929	.	418	Toll9	Down	1.44111614967982	-0.705240156733885	-0.183837153397614	-1.61739020961013
Region58	chr2L	66674	67518	.	845	Toll9	Down	0.244666843822766	0.212720292394866	0.181564451890051	-0.565056936228703
Region59	chr2L	89189	89518	.	330	Gd7	Up	3.81494998540938	-2.29682265718052	-2.18457955671293	-1.96372779407153
Region60	chr2L	90106	90445	.	340	Toll9	Down	-0.537478061169199	-1.99582783069743	3.25621812469504	-3.7482915517828
Region61	chr2L	91221	91973	.	753	Time	Down	1.9398094774326	-2.40313370949744	-0.451990744011608	-1.89786566912209
Region62	chr2L	102167	102646	.	480	Gd7	Up	0.870185754646782	-0.350759329944661	-0.274728306929407	-0.753125164495523
Region63	chr2L	107736	108386	.	651	Toll9	Down	0.233944010904464	0.0585498456802779	0.282539211899893	-0.688997312487488
Region64	chr2L	114532	114855	.	324	Time	Down	0.546568261119706	-1.26737816166621	-0.378022906897092	-0.192559196055854
Region65	chr2L	155063	155938	.	876	Toll9	Down	0.165649286242572	-0.102584163325255	-0.0217949775221213	-0.185004979850035
Region66	chr2L	158885	159311	.	427	Time	Up	-0.00232789390587099	0.183973458566587	-0.0716231903637539	0.100791867396829
Region67	chr2L	160417	162272	.	1856	Time	Up	0.00356832751437102	1.27997567618044	0.32247866330581	-0.44484645207695
Region68	chr2L	165473	165923	.	451	Toll9	Up	-0.233959955124588	0.541613234929498	-0.770818383319596	1.35557490019817
Region69	chr2L	166163	167088	.	926	Toll10b	Down	0.63319054095316	0.279393117402548	-0.852369519302064	0.342675892709266
Region70	chr2L	207184	207645	.	462	Time	Down	0.279837616991868	-0.437532445392943	-0.113493272824236	-0.207866882867526
Region71	chr2L	220420	220886	.	467	Time	Up	0.194825640516403	0.389390730216933	-0.108643702564774	-0.104272502995359
Region72	chr2L	221620	224740	.	3121	Toll9	Down	-0.00636868597089092	-0.231192105159903	0.178616499255792	-0.235575206586066
Region73	chr2L	224978	225429	.	452	Time	Down	0.559950401833297	-1.15342763141619	-0.0389322048970041	-0.672806193882728
Region74	chr2L	246472	247148	.	677	Toll9	Up	0.0272852566674873	0.135938164542935	-0.237345776328867	0.288629896949227
Region75	chr2L	247430	247810	.	381	Time	Down	-0.105965314306247	-0.575733665778365	-0.0890916909175699	0.25900010325528
