Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	distance	Gd7	Toll10b	Toll9
Region59	chr2L	89189	89518	.	330	Gd7	Up	-4.06539429682981	1.35335372608981	4.28474002672478	4.2442263250166	-2.88958712879014	-2.70373594039146
Region60	chr2L	90106	90445	.	340	Toll10b	Up	2.92427212747329	7.15252241460901	7.72722099897508	-1.56828523539594	6.04047274789587	-5.65596434661815
Region61	chr2L	91221	91973	.	753	Gd7	Up	-3.4437954907842	0.994429081912707	3.584496698464	3.56751424095941	-2.52187786740097	-2.14816203094283
Region89	chr2L	354077	354643	.	567	Gd7	Up	-2.67613174216374	1.04631929273707	2.87340654342022	2.82225165071416	-1.82634170248707	-1.92518984625777
Region93	chr2L	377626	378142	.	517	Toll9	Up	0.34876115356447	-2.16775791385472	2.19563401215125	-0.738940907901259	-0.752428480231688	2.15099720260456
Region112	chr2L	517544	519906	.	2363	Gd7	Up	-3.47450733494244	1.70903855869715	3.87208135447622	3.7282684796918	-2.20027206385482	-2.82744557362077
Region114	chr2L	524428	525088	.	661	Toll9	Down	-1.78885254605923	1.64647482305869	2.43122865533227	2.05955510058523	-0.759055022487057	-2.17274056131999
Region126	chr2L	600510	601005	.	496	Gd7	Up	-2.1586206797542	-0.129030300130677	2.16247359692883	2.09871434868973	-1.94757167978524	-0.642773804112457
Region133	chr2L	740080	740419	.	340	Toll9	Down	-0.225268452210056	5.72096591383034	5.72539927540165	1.2666986728277	2.59267453600347	-5.43086967485926
Region139	chr2L	855263	855622	.	360	Gd7	Up	-2.2256129496569	-0.000432184898069912	2.22561299161923	2.18807395457608	-1.94336149583341	-0.786754025692744
Region146	chr2L	1006494	1006868	.	375	Toll9	Up	1.53337403136531	-1.57141483942439	2.19558204529657	-1.79466315380392	0.572597149914387	2.01217397135727
Region164	chr2L	1220933	1221480	.	548	Gd7	Up	-2.88458416491895	0.882934593602594	3.01668680858344	2.9973451189935	-2.08799948521984	-1.84609115131586
Region177	chr2L	1461859	1462731	.	873	Toll10b	Up	3.1290296957152	3.06493370098459	4.38002801681663	-2.51639985938574	4.22627099061768	-1.76015431247667
Region180	chr2L	1485782	1486395	.	614	Toll9	Down	-0.650847979037688	2.37137373696874	2.45906821625642	1.07314386687897	0.587957121996757	-2.4482950402355
Region182	chr2L	1508177	1508661	.	485	Gd7	Up	-3.51767521952495	1.94386309727569	4.01903504476014	3.81361228843728	-2.1234686703476	-3.06236012230623
Region183	chr2L	1508904	1509262	.	359	Toll10b	Down	-2.00096026028936	-0.878861017507468	2.18546074120574	1.80671331975372	-2.17551320969791	0.114353856738455
Region196	chr2L	1679686	1680314	.	629	Gd7	Up	-2.80757557139153	1.21308986927315	3.05844202495447	2.98195212767268	-1.85979162568337	-2.12767061462203
Region212	chr2L	1958057	1958770	.	714	Toll10b	Down	-2.70914514683801	-0.812183852867091	2.82826979573979	2.51516044330397	-2.76130971341924	-0.198485629491748
Region240	chr2L	2215893	2216376	.	484	Toll9	Down	-1.55813993402359	1.59997373335959	2.23331950276705	1.8242299297789	-0.580295535390725	-2.04764622988296
Region249	chr2L	2447939	2448844	.	906	Gd7	Up	-2.99612740438661	0.945994230987571	3.14192369550538	3.11853194721146	-2.15464050209354	-1.94452577296276
Region250	chr2L	2449494	2450213	.	720	Gd7	Up	-2.71236975787346	-0.366387299447268	2.73700371878133	2.5997779127463	-2.5467694643914	-0.616609005075562
Region254	chr2L	2460885	2462662	.	1778	Gd7	Up	-2.97297946904317	0.333064638079641	2.99157800775633	2.98379124480501	-2.43327450776838	-1.36302534052235
Region274	chr2L	2798873	2799196	.	324	Toll10b	Up	1.71170813300703	1.96556483793558	2.60641321833879	-1.32378865351914	2.45281205473241	-1.23312268904733
Region279	chr2L	2867537	2867800	.	264	Toll10b	Up	2.18134283984987	2.14019494219549	3.05592718754284	-1.75361382153605	2.94798723385827	-1.23036459272469
Region298	chr2L	3013016	3013780	.	765	Gd7	Up	-3.57827990638349	2.8257042767443	4.55946178271503	4.03430950402135	-1.74642524891388	-3.90863904292129
Region305	chr2L	3078582	3079025	.	444	Toll9	Up	1.4503426786047	-3.11810126747063	3.43890235388913	-1.99560929585155	-0.254009327451442	3.42952504020033
Region332	chr2L	3600629	3600997	.	369	Gd7	Up	-2.62957003712325	1.18835191549247	2.88562278463264	2.80242303414744	-1.71643894986652	-2.04157430007346
Region336	chr2L	3608451	3609569	.	1119	Toll10b	Up	1.88783499797086	2.81178851990177	3.38675001442608	-1.34234580694331	3.01917649185421	-1.96235863107196
Region340	chr2L	3618707	3619440	.	734	Toll9	Up	1.0667691262949	-2.50925087130933	2.72659793588688	-1.50725469058671	-0.292046644629596	2.72436425207734
Region341	chr2L	3624569	3624876	.	308	Toll9	Down	-1.47124525469653	1.36192631418931	2.00484560122427	1.69530648554792	-0.62049306060425	-1.79425174731593
Region350	chr2L	3778505	3779014	.	510	Gd7	Up	-2.42719502055763	-0.0174922305370237	2.42725805095975	2.38314625605833	-2.12767782589143	-0.842092503732538
Region357	chr2L	3820000	3820723	.	724	Toll9	Up	2.52759913364931	-2.23857403207636	3.37638432017319	-2.89404425941679	1.11535615084986	2.98785101622132
Region360	chr2L	3823439	3824061	.	623	Toll9	Up	2.2863585354371	-2.18895079040565	3.16527106507225	-2.64779788460126	0.92892708760022	2.85611277567196
