VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT0002,chr2L,9410,10052,642,correct,0,NA,NA,NA,NA,NA,NA
VT0003,chr2L,11245,11850,605,correct,1,NA,NA,NA,NA,NA,hindgut;2|posterior_hindgut;3
VT0004,chr2L,12730,13724,994,correct,0,NA,NA,NA,NA,NA,NA
VT0005,chr2L,15507,17836,2329,correct,0,NA,NA,NA,NA,dorsal_epidermis_subset;1,dorsal_epidermis_subset;1
VT0006,chr2L,16836,18924,2088,correct,1,ubiquitous;4,ubiquitous;4,ubiquitous;4,ubiquitous;4,ubiquitous;3,brain_broad;3|ubiquitous;3|ventral_nerve_cord_broad;3
VT0007,chr2L,18031,20238,2207,correct,1,ubiquitous;3,ubiquitous;4,ubiquitous;4,ubiquitous;4,ubiquitous;4,midgut_chamber;4|ubiquitous;4
VT0008,chr2L,19241,21468,2227,correct,0,NA,NA,NA,NA,NA,NA
VT0009,chr2L,21327,21958,631,correct,0,NA,NA,NA,NA,NA,NA
VT0010,chr2L,22647,23043,396,not_verified,0,NA,NA,NA,NA,NA,NA
VT0011,chr2L,23791,24839,1048,not_verified,0,NA,NA,NA,NA,NA,NA
VT0013,chr2L,26520,27246,726,correct,1,procephalic_ectoderm_AISN;4,procephalic_ectoderm_anlage;3|head_mesoderm_anlage;3,NA,NA,NA,NA
VT0015,chr2L,33156,33884,728,correct,0,NA,NA,NA,NA,NA,midgut_chamber;1
VT0016,chr2L,34214,34809,595,not_verified,0,NA,NA,NA,NA,NA,NA
VT0017,chr2L,35138,35800,662,correct,0,NA,NA,NA,NA,NA,NA
VT0018,chr2L,37992,39407,1415,correct,0,NA,NA,NA,NA,NA,NA
VT0019,chr2L,39832,41927,2095,correct,0,NA,NA,NA,NA,NA,NA
VT0020,chr2L,41208,43332,2124,correct,0,NA,NA,NA,NA,NA,NA
VT0021,chr2L,42658,44732,2074,correct,0,NA,NA,NA,NA,NA,NA
VT0022,chr2L,44054,46142,2088,correct,0,NA,NA,NA,NA,NA,NA
VT0025,chr2L,54047,56104,2057,correct,1,NA,NA,NA,NA,NA,antenno-maxillary-labial_complex;4|ventral_epidermis_subset;4|head_epidermis_broad;4|pharynx;4|dorsal_epidermis_subset;4|posterior_spiracle;4
VT0104,chr2L,228076,230306,2230,correct,0,NA,NA,NA,NA,NA,NA
VT0105,chr2L,229365,231563,2198,correct,0,NA,NA,NA,NA,NA,NA
VT0106,chr2L,230498,232611,2113,correct,0,NA,NA,NA,NA,NA,NA
VT0107,chr2L,242019,244270,2251,correct,0,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1|visceral_muscle_subset;1,brain_broad;1|ventral_nerve_cord_broad;1
VT0108,chr2L,243746,245841,2095,correct,1,NA,NA,NA,NA,brain_broad;1|hindgut;1|ventral_nerve_cord_broad;1,brain_broad;2|hindgut;1|ventral_nerve_cord_broad;2
VT0109,chr2L,245396,247649,2253,correct,1,NA,NA,brain_anlage_broad;4|ventral_nerve_cord_anlage_broad;4,brain_primordium_broad;3|ventral_nerve_cord_primordium_broad;3,brain_broad;3|hindgut;2|ventral_nerve_cord_broad;3,ventral_epidermis_subset;3|brain_broad;2|ventral_nerve_cord_broad;2
VT0112,chr2L,250756,251202,446,correct,1,ubiquitous;3,ubiquitous;3,ubiquitous;3,ubiquitous;3,ubiquitous;3,brain_broad;3|ubiquitous;3|ventral_nerve_cord_broad;3
VT0129,chr2L,283242,283450,208,not_verified,0,NA,NA,NA,NA,NA,NA
VT0130,chr2L,284106,286259,2153,correct,0,NA,NA,NA,ventral_nerve_cord_primordium_broad;1,brain_broad;1|ventral_nerve_cord_broad;1,brain_broad;1|ventral_nerve_cord_broad;1
VT0131,chr2L,285217,287380,2163,correct,1,NA,NA,NA,brain_primordium_broad;1|ubiquitous;1|ventral_nerve_cord_primordium_broad;1,midgut_broad;2|brain_broad;2|ubiquitous;1|ventral_nerve_cord_broad;2,brain_broad;2|ubiquitous;1|ventral_nerve_cord_broad;2
VT0132,chr2L,288875,290893,2018,correct,1,NA,NA,NA,garland_cell_primordium;3|visceral_muscle_primordium_subset;3,garland_cell;4|visceral_muscle_subset;2,garland_cell;4
VT0204,chr2L,455548,456979,1431,correct,1,NA,NA,NA,NA,brain_broad;2|ventral_nerve_cord_broad;2,brain_broad;2|ventral_nerve_cord_broad;2
VT0205,chr2L,458606,460563,1957,correct,0,NA,NA,NA,NA,NA,NA
VT0248,chr2L,542535,542947,412,correct,0,NA,NA,NA,NA,NA,NA
VT0249,chr2L,544170,544616,446,correct,0,NA,NA,NA,NA,NA,NA
VT0250,chr2L,544586,545182,596,correct,0,NA,NA,NA,NA,NA,NA
VT0251,chr2L,545256,545891,635,correct,0,NA,NA,NA,NA,NA,NA
VT0252,chr2L,547071,547528,457,correct,0,NA,NA,NA,NA,NA,NA
VT0255,chr2L,551806,552464,658,correct,0,NA,NA,NA,NA,NA,NA
VT0266,chr2L,579519,581579,2060,correct,0,NA,NA,NA,NA,NA,NA
VT0267,chr2L,580471,582588,2117,correct,1,NA,NA,stomatogastric_nervous_system_anlage;2,stomatogastric_nervous_system_primordium;3,stomatogastric_nervous_system;3,brain_subset;2|stomatogastric_nervous_system;2
VT0268,chr2L,581470,583741,2271,correct,1,NA,NA,anterior_endoderm_anlage;2,stomatogastric_nervous_system_primordium;3,stomatogastric_nervous_system;3,stomatogastric_nervous_system;3
VT0269,chr2L,584274,586488,2214,correct,0,NA,NA,NA,NA,ventral_nerve_cord_subset;1|brain_subset;1,NA
