Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	Distance	PROseq_Classification	ATACseq_Classification	pair_score
110	Region229	chr2L	2162298	2164218	Time	Up	None	region 7065	-0.410809437660857	-1.47719613743318	1.7453520206045	3.40062116493916	No	6270	FBgn0031969	chr2L	7987880	7991480	-	Up	Time	0.0563567769830244	0.560472633337202	-0.841008514356446	1.42935848398988	2430	Time Up	Time Up	4.82997964892904
136	Region256	chr2L	2493904	2494103	Toll9	Up	None	None	0.801302348077092	-5.46405463324681	4.20262053446594	-2.52610242222986	No	6351	FBgn0029123	chr2L	8826494	8828776	+	Up	Toll9	-4.53947873280454	0.252526448904753	5.83057622758844	0.49764669140349	12525	Toll9 Up	Toll9 Up	10.0331967620544
137	Region257	chr2L	2574865	2575205	Toll9	Up	None	None	-0.190920501065762	-2.65040681323877	2.34032718057896	-1.81964318978215	No	6351	FBgn0029123	chr2L	8826494	8828776	+	Up	Toll9	-4.53947873280454	0.252526448904753	5.83057622758844	0.49764669140349	12525	Toll9 Up	Toll9 Up	8.1709034081674
138	Region258	chr2L	2575641	2576987	Toll9	Up	None	None	-0.00789758486294623	-2.48711767137633	2.47225158366477	-2.07715074559877	No	6351	FBgn0029123	chr2L	8826494	8828776	+	Up	Toll9	-4.53947873280454	0.252526448904753	5.83057622758844	0.49764669140349	12525	Toll9 Up	Toll9 Up	8.30282781125321
251	Region449	chr2L	5276995	5277644	Time	Down	None	None	1.35446082028378	0.0169826757477031	-1.71805806746617	-8.52521344794152	No	6883	FBgn0024245	chr2L	19339168	19362839	-	Down	Time	0.920281631940633	-1.30817457674823	0.53218967294137	-1.6971110280459	11254	Time Down	Time Down	10.2223244759874
398	Region703	chr2L	8809571	8810598	Toll9	Up	region 547	region 7415	-1.51903357017525	-6.79658724232522	9.24685099080738	-0.576924186545068	No	3695	FBgn0003326	chr2R	12780863	12800933	+	Up	Toll9	-2.09325947410345	-0.199639729250429	3.11967799693372	-0.558425480827723	3073	Toll9 Up	Toll9 Up	12.3665289877411
399	Region703	chr2L	8809571	8810598	Toll9	Up	region 547	region 7416	-1.51903357017525	-6.79658724232522	9.24685099080738	-0.576924186545068	No	3695	FBgn0003326	chr2R	12780863	12800933	+	Up	Toll9	-2.09325947410345	-0.199639729250429	3.11967799693372	-0.558425480827723	3073	Toll9 Up	Toll9 Up	12.3665289877411
408	Region710	chr2L	8841302	8842999	Toll9	Up	region 555	region 7435	-6.96546296057183	-2.15230961077987	9.90365031023014	-0.091408177495885	No	3720	FBgn0053182	chr2R	13180085	13187825	-	Up	Toll9	-0.524938790313879	-0.170897868850577	0.94712642960695	0.581654313154426	3450	Toll9 Up	Toll9 Up	10.8507767398371
424	Region710	chr2L	8841302	8842999	Toll9	Up	region 555	region 7435	-7.79612924695714	-3.13781624946913	11.7301109290968	-0.091408177495885	No	3806	FBgn0085408	chr2R	14315324	14351497	+	Up	Toll9	-0.603025219783965	-0.744651556540195	1.83580545650766	-0.0366791096102922	2200	Toll9 Up	Toll9 Up	13.5659163856045
425	Region710	chr2L	8841302	8842999	Toll9	Up	region 555	region 7436	-7.79612924695714	-3.13781624946913	11.7301109290968	-0.091408177495885	No	3806	FBgn0085408	chr2R	14315324	14351497	+	Up	Toll9	-0.603025219783965	-0.744651556540195	1.83580545650766	-0.0366791096102922	2200	Toll9 Up	Toll9 Up	13.5659163856045
