# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27me3.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27me3.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region1	chr2L	30	8654	.	8625	6789	21097	25625	9422	5114	13178	1249	2147	1148	2812	288	425	447	1369	690
Region2	chr2L	365897	368611	.	2715	4106	3132	3683	1386	3707	1218	352	496	753	668	44	184	72	292	292
Region3	chr2L	368995	371422	.	2428	3747	3337	3481	1438	3273	1359	318	450	852	719	59	146	85	290	267
Region4	chr2L	371634	374093	.	2460	2472	2777	2236	1151	2476	920	300	455	638	567	25	144	66	287	280
Region5	chr2L	374610	380404	.	5795	7912	8562	6392	3796	6522	3129	798	1109	1782	1522	97	381	201	623	657
Region6	chr2L	380795	381719	.	925	559	1029	713	429	536	425	132	170	359	259	18	82	28	98	107
Region7	chr2L	578603	579200	.	598	920	372	913	126	811	422	77	93	343	277	9	44	31	65	83
Region8	chr2L	579847	581807	.	1961	2343	1585	2952	612	2537	1160	252	354	626	516	32	113	55	199	181
Region9	chr2L	582409	588217	.	5809	7388	8206	10964	3855	8630	5680	743	1106	1425	1183	93	274	157	590	515
Region10	chr2L	588835	601948	.	13114	33611	29294	37676	15831	35975	30925	1649	2627	4069	3020	240	845	419	1595	1345
Region11	chr2L	1516905	1517888	.	984	119	1489	110	796	69	152	139	232	337	295	33	65	34	213	129
Region12	chr2L	1945300	1945655	.	356	459	306	658	114	373	290	57	63	124	122	3	22	22	71	38
Region13	chr2L	1946876	1947559	.	684	1179	683	1664	253	1135	693	76	117	278	315	7	40	22	83	62
Region14	chr2L	1947850	1972843	.	24994	56791	49919	70859	25407	56331	50202	3094	4461	7920	6548	393	1396	787	2775	2495
Region15	chr2L	1973070	1973867	.	798	2073	1625	2979	707	1564	1353	124	192	234	242	16	50	22	105	103
Region16	chr2L	2317314	2317688	.	375	805	181	155	107	758	67	73	92	175	122	4	38	21	47	63
Region17	chr2L	2444656	2450846	.	6191	5639	9791	11041	4652	5169	7198	857	1183	2050	1710	102	450	231	839	702
Region18	chr2L	2451332	2454643	.	3312	1915	6197	5830	3157	1893	6846	414	675	1092	808	47	210	94	421	361
Region19	chr2L	2454865	2456769	.	1905	1541	4145	4720	2347	1744	6687	235	455	874	609	13	129	70	261	227
Region20	chr2L	2457619	2461226	.	3608	1254	5333	3498	2818	1778	3940	467	701	1398	830	56	215	112	386	423
Region21	chr2L	2463521	2464109	.	589	413	684	494	263	319	315	95	121	253	195	15	47	28	90	84
Region22	chr2L	2464470	2465316	.	847	682	853	707	397	595	472	114	152	302	253	31	63	39	115	98
Region23	chr2L	2465850	2466295	.	446	236	509	289	237	268	229	57	85	128	115	4	29	16	48	51
Region24	chr2L	2466709	2467226	.	518	509	569	432	282	508	379	60	112	269	186	7	40	15	43	66
Region25	chr2L	2756587	2758943	.	2357	118	5973	89	2009	69	277	323	586	728	645	45	159	80	370	264
Region26	chr2L	2805943	2808017	.	2075	3729	1872	2956	896	3451	1640	290	340	671	604	30	120	75	208	207
Region27	chr2L	2808262	2811960	.	3699	6812	2901	4496	1268	6063	2969	477	608	1511	1218	69	204	135	386	422
Region28	chr2L	2812524	2813605	.	1082	1753	639	605	323	1438	699	132	179	625	473	12	74	46	109	138
Region29	chr2L	3081000	3081395	.	396	199	482	247	265	135	442	68	78	175	161	9	32	16	54	51
Region30	chr2L	3081629	3082257	.	629	263	726	409	441	214	669	90	87	157	159	22	42	23	82	68
Region31	chr2L	3085954	3086314	.	361	205	419	156	229	134	196	61	80	159	118	10	33	15	57	43
Region32	chr2L	3531128	3539030	.	7903	17413	13873	22283	6278	15824	10499	1039	1583	2350	2055	177	493	312	1033	868
