VTID,Chrosome,Start,End,Length,Verification Status,Positive,stg4_6,stg7_8,stg9_10,stg11_12,stg13_14,stg15_16
VT11911,chr2R,737796,739900,2104,correct,0,NA,NA,NA,NA,NA,NA
VT11912,chr2R,739553,741643,2090,correct,0,NA,NA,NA,NA,NA,NA
VT11917,chr2R,763812,765903,2091,correct,0,NA,NA,NA,NA,NA,NA
VT11923,chr2R,784565,786865,2300,correct,0,NA,NA,NA,NA,NA,NA
VT11932,chr2R,802378,804477,2099,correct,0,NA,NA,NA,NA,NA,NA
VT11939,chr2R,826747,828826,2079,correct,0,NA,NA,NA,NA,NA,NA
VT11940,chr2R,828505,830582,2077,correct,0,NA,NA,NA,NA,NA,NA
VT11963,chr2R,915388,917460,2072,correct,1,NA,NA,NA,NA,NA,head_epidermis_ventral_subset;3
VT11964,chr2R,916599,918681,2082,correct,0,NA,NA,NA,NA,NA,NA
VT11965,chr2R,917769,919862,2093,correct,0,NA,NA,NA,NA,NA,NA
VT11969,chr2R,928176,930271,2095,correct,1,NA,NA,NA,head_subset;1|dorsal_epidermis_primordium_subset;2,head_subset;1,NA
VT11974,chr2R,950208,952307,2099,correct,1,NA,NA,NA,brain_primordium_subset;2|ventral_nerve_cord_primordium_subset;1,NA,NA
VT11979,chr2R,957670,960200,2530,correct,0,NA,NA,NA,NA,NA,NA
VT12087,chr2R,1224998,1225889,891,correct,0,NA,NA,NA,NA,NA,NA
VT12088,chr2R,1226327,1227363,1036,correct,0,NA,NA,NA,NA,NA,NA
VT12089,chr2R,1227784,1228482,698,correct,0,NA,NA,NA,NA,NA,NA
VT12093,chr2R,1237959,1238473,514,correct,0,NA,NA,NA,NA,NA,NA
VT12222,chr2R,1581102,1583458,2356,correct,0,NA,NA,NA,NA,NA,NA
VT12223,chr2R,1582668,1585403,2735,correct,0,NA,NA,NA,NA,NA,NA
VT12224,chr2R,1585347,1586011,664,correct,0,NA,NA,NA,NA,NA,NA
VT12225,chr2R,1586650,1587624,974,correct,1,anterior_endoderm_AISN;4,NA,NA,NA,NA,NA
VT12227,chr2R,1589608,1590703,1095,correct,0,NA,NA,NA,NA,somatic_muscle;1,NA
VT12228,chr2R,1592907,1593855,948,correct,0,NA,NA,NA,NA,NA,NA
VT12230,chr2R,1597188,1599358,2170,not_verified,1,NA,NA,head_epidermis_ventral_anlage;3,antenno-maxillary-labial_complex;3,head_epidermis_ventral_subset;1,head_epidermis_subset;1
VT12232,chr2R,1600550,1602642,2092,correct,1,NA,NA,NA,lateral_epidermis_primordium_subset;2,lateral_epidermis_subset;2|posterior_spiracle;2,NA
VT12244,chr2R,1622459,1624574,2115,correct,1,head_mesoderm_AISN;1,head_mesoderm_anlage;3,head_mesoderm_anlage;3,ventral_nerve_cord_primordium_subset;2|visceral_muscle_primordium_subset;2|hypopharynx_primordium;4|head_mesoderm_primordium;2,brain_subset;4|visceral_muscle_subset;2|hypopharynx;4,head_epidermis_ventral_subset;2|pharynx;4|brain_subset;3
VT12246,chr2R,1628634,1630720,2086,not_verified,1,NA,NA,NA,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_broad;2|brain_subset;3,ventral_nerve_cord_broad;2|brain_subset;3
VT12249,chr2R,1634774,1636868,2094,correct,0,NA,NA,NA,NA,NA,NA
VT12250,chr2R,1636407,1638547,2140,correct,0,NA,NA,NA,NA,NA,brain_broad;1|ventral_nerve_cord_broad;1
VT12275,chr2R,1685932,1688537,2605,correct,0,NA,NA,NA,NA,NA,NA
VT12278,chr2R,1690953,1693062,2109,correct,0,NA,NA,NA,NA,NA,NA
VT12279,chr2R,1692487,1694586,2099,correct,0,NA,NA,NA,NA,NA,NA
VT12282,chr2R,1697928,1700043,2115,correct,0,NA,NA,NA,NA,NA,NA
VT12283,chr2R,1699644,1701757,2113,correct,0,NA,NA,NA,NA,NA,NA
VT12284,chr2R,1701359,1703455,2096,correct,1,NA,NA,brain_anlage_subset;2|ventral_nerve_cord_anlage_subset;3,brain_primordium_subset;3|anterior_ventral_nerve_cord_primordium_subset;3,ventral_nerve_cord_subset;3|brain_subset;3,ventral_nerve_cord_subset;2|brain_subset;2
VT12285,chr2R,1703090,1705167,2077,correct,1,NA,NA,NA,NA,NA,head_subset;3|telson_subset;3|dorsal_epidermis_subset;2
VT12286,chr2R,1704771,1706913,2142,correct,0,NA,NA,NA,NA,NA,NA
VT12287,chr2R,1706448,1708584,2136,correct,1,NA,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;2
VT12289,chr2R,1709886,1712084,2198,correct,0,NA,NA,NA,NA,NA,NA
VT12290,chr2R,1711640,1713730,2090,correct,1,NA,NA,NA,NA,brain_subset;2,brain_subset;2
VT12291,chr2R,1713349,1715465,2116,correct,1,NA,NA,NA,head_subset;3,head_subset;3,head_subset;3
VT12292,chr2R,1715043,1717156,2113,correct,1,NA,NA,amnioserosa_anlage;2,head_epidermis_ventral_primordium_subset;3|amnioserosa;3|dorsal_epidermis_primordium_subset;3,antenno-maxillary-labial_complex;3|head_epidermis_dorsal_subset;3|dorsal_epidermis_subset;3|head_epidermis_lateral_subset;3,head_subset;3|head_epidermis_dorsal_subset;4
VT12293,chr2R,1716759,1718853,2094,correct,0,NA,NA,NA,NA,NA,NA
VT12294,chr2R,1718467,1720565,2098,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;3,brain_primordium_subset;1|anterior_ventral_nerve_cord_primordium_subset;1,anterior_ventral_nerve_cord_broad;2,ventral_nerve_cord_subset;1|brain_subset;1
VT12297,chr2R,1723583,1725724,2141,correct,1,NA,NA,NA,NA,ventral_nerve_cord_subset;2|brain_subset;2,ventral_nerve_cord_subset;3|brain_subset;2
VT12298,chr2R,1725343,1727446,2103,correct,1,NA,NA,brain_anlage_subset;1|ventral_nerve_cord_anlage_subset;1,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;1,lateral_epidermis_subset;1|ventral_nerve_cord_subset;1|brain_subset;1,telson_subset;2|sensory_system_head;2
VT12299,chr2R,1727031,1729223,2192,correct,0,NA,NA,NA,ventral_nerve_cord_primordium_subset;1,ventral_nerve_cord_subset;1,ventral_nerve_cord_subset;1
VT12300,chr2R,1728769,1730871,2102,correct,1,NA,NA,NA,ventral_nerve_cord_primordium_subset;2,ventral_nerve_cord_subset;2,NA
VT12301,chr2R,1730483,1732559,2076,correct,0,NA,NA,NA,NA,NA,NA
VT12304,chr2R,1736199,1738266,2067,correct,0,NA,NA,NA,NA,ventral_nerve_cord_subset;1,NA
VT12305,chr2R,1737887,1740047,2160,not_verified,0,NA,NA,NA,NA,NA,ventral_nerve_cord_subset;1
VT12306,chr2R,1739620,1741725,2105,correct,0,NA,NA,NA,NA,NA,NA
VT12308,chr2R,1742959,1745134,2175,correct,0,NA,NA,NA,NA,NA,NA
VT12309,chr2R,1744593,1746844,2251,correct,0,NA,NA,NA,NA,NA,NA
VT12310,chr2R,1746496,1748602,2106,correct,1,NA,NA,ventral_nerve_cord_anlage_subset;3,brain_primordium_subset;1|ventral_nerve_cord_primordium_subset;2,head_subset;3|amnioserosa;3,pharynx;3|head_epidermis_dorsal_subset;3|atrium;3|head_epidermis_lateral_broad;3
VT12314,chr2R,1753145,1755253,2108,correct,0,NA,NA,NA,NA,NA,NA
VT12316,chr2R,1761559,1763892,2333,correct,1,NA,NA,NA,NA,NA,anterior_ventral_nerve_cord_subset;2
VT12318,chr2R,1764957,1767190,2233,correct,1,NA,NA,NA,NA,posterior_ventral_nerve_cord_subset;2,posterior_ventral_nerve_cord_subset;2
