Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	Distance	PROseq_Classification	ATACseq_Classification	pair_score	name	geneFunc	score	geneName	geneFuncFullText
112	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
113	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
114	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	0.461114119079002	-3.32656531072644	2.79863914146336	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
115	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
116	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
117	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	-0.465019912546984	-4.40466542047535	4.81259676526381	2.63672043905393	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25728565705706	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
342	Region634	chr2L	7811303	7811724	Time	Up	None	None	1.14825501944003	0.575749961821143	-2.02242301437682	2.11558675874294	Yes	6262	FBgn0261800	chr2L	7814948	7820387	+	Up	Time	-0.542099264442347	0.716199741842177	-0.239314616438844	0.931661680964788	3223	Time Up	Time Up	3.04724843970773	P11046	Laminin subunit beta-1	1000	LanB1	<ul><li>Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components (By similarity). Required for Ndg localization to the basement membrane (PubMed:30260959).</ul>
688	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 319	region 8115	-9.65593511870203	18.6563427460655	-9.79223819273212	-2.08709198844	No	6804	FBgn0015609	chr2L	17650387	17739518	-	Up	Toll10b	-3.98277923006615	7.3390270849515	-4.59094374663521	0.534998227359193	9062	Toll10b Up	Toll10b Up	25.995369831017	O15943	Neural-cadherin	1000	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
689	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 320	region 8115	-9.65593511870203	18.6563427460655	-9.79223819273212	-2.08709198844	No	6804	FBgn0015609	chr2L	17650387	17739518	-	Up	Toll10b	-3.98277923006615	7.3390270849515	-4.59094374663521	0.534998227359193	9062	Toll10b Up	Toll10b Up	25.995369831017	O15943	Neural-cadherin	1000	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
690	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 319	region 8115	-9.27792205231943	18.6142311811711	-10.0913676565046	-2.08709198844	No	6804	FBgn0015609	chr2L	17650387	17739518	-	Up	Toll10b	-3.98277923006615	7.3390270849515	-4.59094374663521	0.534998227359193	9062	Toll10b Up	Toll10b Up	25.9532582661226	O15943	Neural-cadherin	1000	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
