Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	Distance	PROseq_Classification	ATACseq_Classification	pair_score
138	Region257	chr2L	2574865	2575205	Toll9	Up	None	None	-0.160537177026366	-2.69057309327335	2.34787917220384	-1.81849307959032	No	6351	FBgn0029123	chr2L	8826494	8828776	+	Up	Toll9	-4.53947873280454	0.252526448904753	5.83057622758844	0.49764669140349	12525	Toll9 Up	Toll9 Up	8.17845539979228
139	Region258	chr2L	2575641	2576987	Toll9	Up	None	None	0.0122521836690178	-2.53105194853684	2.49075510089964	-2.07745443199783	No	6351	FBgn0029123	chr2L	8826494	8828776	+	Up	Toll9	-4.53947873280454	0.252526448904753	5.83057622758844	0.49764669140349	12525	Toll9 Up	Toll9 Up	8.32133132848808
225	Region424	chr2L	4838741	4839087	Time	Down	None	region 7237	3.66944814269727	-3.24505946366125	-0.131099728414468	-3.74603601054808	No	6734	FBgn0041627	chr2L	15768742	15771064	-	Down	Time	0.617786995402221	-0.327423592452941	-0.393837406985392	-0.836914395954616	184998	Time Down	Time Down	4.5829504065027
418	Region710	chr2L	8841302	8842999	Toll9	Up	region 556	region 7436	-6.9048387537802	-2.14128934072759	9.86297857385449	-0.090775323732549	No	3695	FBgn0003326	chr2R	12780863	12800933	+	Up	Toll9	-2.09325947410345	-0.199639729250429	3.11967799693372	-0.558425480827723	3073	Toll9 Up	Toll9 Up	12.9826565707882
419	Region710	chr2L	8841302	8842999	Toll9	Up	region 555	region 7429	-7.71970182531843	-3.07792928514794	11.6548287014201	-0.090775323732549	No	3695	FBgn0003326	chr2R	12780863	12800933	+	Up	Toll9	-2.09325947410345	-0.199639729250429	3.11967799693372	-0.558425480827723	3073	Toll9 Up	Toll9 Up	14.7745066983538
428	Region710	chr2L	8841302	8842999	Toll9	Up	region 556	region 7430	-7.71970182531843	-3.07792928514794	11.6548287014201	-0.090775323732549	No	3720	FBgn0053182	chr2R	13180085	13187825	-	Up	Toll9	-0.524938790313879	-0.170897868850577	0.94712642960695	0.581654313154426	3450	Toll9 Up	Toll9 Up	12.6019551310271
572	Region959	chr2L	12861725	12862254	Gd7	Down	None	None	-8.2986862806371	10.387178184031	-1.4073485809206	1.01450258646688	No	4182	FBgn0004364	chr2R	20111885	20116039	+	Down	Gd7	-1.00909300524409	0.295210247510842	0.970054127612563	0.0267159343980798	52471	Gd7 Down	Gd7 Down	9.30777928588119
583	Region981	chr2L	13224620	13225955	Toll9	Up	None	None	2.44226636075593	-5.28497119685061	3.15688090243931	-2.0346022490941	No	4237	FBgn0003391	chr2R	21050809	21056473	-	Up	Toll9	-0.0982226572171493	-0.886087807468754	1.34201724640864	-0.993851519731916	2140	Toll9 Up	Toll9 Up	4.49889814884795
584	Region982	chr2L	13226911	13228362	Toll9	Up	None	None	1.01463295315584	-3.68866875545555	3.57390217433791	-1.34904186862687	No	4237	FBgn0003391	chr2R	21050809	21056473	-	Up	Toll9	-0.0982226572171493	-0.886087807468754	1.34201724640864	-0.993851519731916	2140	Toll9 Up	Toll9 Up	4.91591942074655
945	Region1845	chr2R	7499490	7500245	Toll9	Up	None	None	-3.48283844859127	1.18614318470103	2.57604140230977	0.606356354747613	No	3085	FBgn0037153	chr3L	22184093	22242656	+	Up	Toll9	-0.59218460341389	-1.15168648785641	2.37615524145518	2.20388188494278	20249	Toll9 Up	Toll9 Up	4.95219664376495
970	Region1878	chr2R	7972414	7972859	Time	Down	None	None	1.72893238267105	1.16324151247929	-2.79674332260509	-0.973328834510808	No	39	FBgn0087012	chr3R	4622580	4632924	+	Down	Time	1.3672823963009	-2.79743843999832	1.95513515480245	-2.89040308248137	8518	Time Down	Time Down	3.86373191699218
994	Region1929	chr2R	8651327	8651793	Time	Down	None	region 402	-2.12424979469994	1.30577279749013	0.581139537456584	-2.32934379511607	No	63	FBgn0037297	chr3R	5219707	5221288	+	Down	Time	-0.201555385576538	0.295042703765559	-0.128194369899591	-0.394713032513424	6393	Time Down	Time Down	2.72405682762949
995	Region1929	chr2R	8651327	8651793	Time	Down	None	region 403	-2.12424979469994	1.30577279749013	0.581139537456584	-2.32934379511607	No	63	FBgn0037297	chr3R	5219707	5221288	+	Down	Time	-0.201555385576538	0.295042703765559	-0.128194369899591	-0.394713032513424	6393	Time Down	Time Down	2.72405682762949
1181	Region2235	chr2R	11790041	11790442	Toll9	Up	None	None	-4.61134613260449	-3.65469143846175	8.71958250476727	-0.0115992311819916	No	855	FBgn0000014	chr3R	16809690	16828003	-	Up	Toll9	-1.06135825709945	-0.410489233112761	2.00355090983064	0.289421049290226	20465	Toll9 Up	Toll9 Up	10.7231334145979
1182	Region2236	chr2R	11794038	11795265	Toll9	Up	region 579	None	-7.6942249204877	-3.39536694826304	11.7285766405703	-3.53493446732799	No	855	FBgn0000014	chr3R	16809690	16828003	-	Up	Toll9	-1.06135825709945	-0.410489233112761	2.00355090983064	0.289421049290226	20465	Toll9 Up	Toll9 Up	13.7321275504009
1262	Region2350	chr2R	13191276	13192300	Time	Up	None	None	-2.21473899480365	-0.0627061106104521	2.59702214081591	2.38885285974666	No	1147	FBgn0051163	chr3R	22174368	22294282	+	Up	Time	-1.32626935560407	0.180731851162307	1.55762318324761	2.06870321891485	9102	Time Up	Time Up	4.45755607866151
1465	Region2603	chr2R	16109658	16111348	Gd7	Down	None	None	-4.52903518711713	5.47052047782004	-0.995271126424033	0.292057806755244	No	4962	FBgn0024250	chrX	7308473	7310584	+	Down	Gd7	-9.29152079676533	3.60956940198495	7.71649711598812	-0.342293787352578	7136	Gd7 Down	Gd7 Down	13.8205559838825
1487	Region2633	chr2R	16517020	16517413	Toll9	Up	None	None	-0.087500819363518	-3.5673492975348	4.15490506213845	0.221402427399332	No	5107	FBgn0083940	chrX	10122197	10148445	+	Up	Toll9	-1.77177562140871	-0.612834684006292	3.24586687557616	-0.799666849723261	8194	Toll9 Up	Toll9 Up	7.40077193771461
1493	Region2650	chr2R	16783534	16783912	Time	Up	None	region 1013	-2.89121244859098	1.85363636480192	0.944277845023482	1.80032514799667	No	5136	FBgn0285926	chrX	10797072	10813361	-	Up	Time	-0.853873271184344	0.485161566122372	0.499864760848603	0.997997325787443	8720	Time Up	Time Up	2.79832247378411
1494	Region2650	chr2R	16783534	16783912	Time	Up	None	region 1014	-2.89121244859098	1.85363636480192	0.944277845023482	1.80032514799667	No	5136	FBgn0285926	chrX	10797072	10813361	-	Up	Time	-0.853873271184344	0.485161566122372	0.499864760848603	0.997997325787443	8720	Time Up	Time Up	2.79832247378411
