Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	Distance	PROseq_Classification	ATACseq_Classification	pair_score
92	Region208	chr2L	1884348	1885462	Time	Up	None	None	-0.568979025546252	-2.1444405654592	3.3404224476644	2.91649285289525	No	5879	FBgn0031374	chr2L	1910072	1942962	+	Up	Time	-0.478056068688899	-0.50074681457984	1.33318607363196	1.78895024742067	24609	Time Up	Time Up	4.70544310031592
112	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	0.450990331661412	-3.27280710411646	2.81180955084905	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241
113	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	0.450990331661412	-3.27280710411646	2.81180955084905	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241
114	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	0.450990331661412	-3.27280710411646	2.81180955084905	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241
115	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	-0.458662748640488	-4.29576373823307	4.78671784942552	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241
116	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	-0.458662748640488	-4.29576373823307	4.78671784942552	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241
117	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	-0.458662748640488	-4.29576373823307	4.78671784942552	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241
134	Region254	chr2L	2460885	2462662	Gd7	Up	region 14	None	7.73047762102305	-8.54090641242884	0.250988584396319	0.400830943225092	No	5910	FBgn0000490	chr2L	2455071	2458557	+	Up	Gd7	6.48117849718106	-4.76697150423632	-2.31523241262003	-1.45082930620761	2327	Gd7 Up	Gd7 Up	14.2116561182041
221	Region420	chr2L	4823272	4823506	Time	Down	None	None	-0.234010156059304	-4.69681814830689	5.15400584122894	-3.40106953052246	No	6048	FBgn0031632	chr2L	4825610	4827569	+	Down	Time	0.430396844245133	-0.671362351396016	0.33011391492698	-3.02781779918484	2103	Time Down	Time Down	6.4288873297073
343	Region634	chr2L	7811303	7811724	Time	Up	None	None	1.16617193143945	0.519592962113865	-1.99217319262483	2.11775653460431	Yes	6262	FBgn0261800	chr2L	7814948	7820387	+	Up	Time	-0.542099264442347	0.716199741842177	-0.239314616438844	0.931661680964788	3223	Time Up	Time Up	3.0494182155691
