# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/K27ac.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/K27ac.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region1	chr2L	17384	18681	.	1298	1973	3611	526	1268	3479	1719	213	340	309	448	47	79	47	279	151
Region2	chr2L	20214	21391	.	1178	1978	3193	528	1171	3194	1446	170	312	302	440	45	76	59	226	133
Region3	chr2L	26270	27063	.	794	471	1413	212	837	1906	635	144	192	266	246	17	55	37	137	102
Region4	chr2L	27347	29393	.	2047	936	3496	445	1792	3973	1748	297	483	671	661	39	127	94	349	258
Region5	chr2L	34695	35189	.	495	118	611	23	142	254	252	62	98	199	222	16	34	13	84	77
Region6	chr2L	35908	36490	.	583	167	814	49	210	338	325	69	135	268	213	18	44	28	103	84
Region7	chr2L	67055	67305	.	251	231	384	74	152	382	238	55	83	80	79	7	13	7	66	28
Region8	chr2L	88477	91752	.	3276	2765	1853	1229	4100	9138	909	475	763	983	1005	79	224	134	590	395
Region9	chr2L	94740	95267	.	528	263	1049	67	225	784	482	62	126	125	112	12	33	20	92	57
Region10	chr2L	102392	102939	.	548	628	1413	172	558	1259	589	88	138	251	271	12	49	22	117	73
Region11	chr2L	106200	106789	.	590	389	1149	131	528	1022	541	89	139	313	275	16	43	30	137	80
Region12	chr2L	107378	109091	.	1714	1488	2651	519	1325	2807	1267	250	403	645	541	48	141	70	344	232
Region13	chr2L	114663	115221	.	559	449	669	132	288	857	256	85	111	108	166	12	23	20	97	44
Region14	chr2L	143350	143800	.	451	271	902	65	379	543	406	62	108	274	248	10	41	19	83	74
Region15	chr2L	182863	183522	.	660	383	1038	148	310	961	420	98	178	188	161	18	48	34	122	96
Region16	chr2L	203792	204221	.	430	430	897	101	438	892	384	64	129	179	151	3	45	23	84	69
Region17	chr2L	207421	207910	.	490	308	943	84	429	760	464	88	124	332	239	10	43	14	100	83
Region18	chr2L	219764	220488	.	725	309	1054	105	405	935	513	112	185	204	215	34	50	27	124	67
Region19	chr2L	220716	221904	.	1189	683	2381	222	702	1793	1139	175	308	360	337	16	83	43	187	162
Region20	chr2L	222494	225189	.	2696	1594	4699	731	2099	4764	2398	370	649	1048	991	54	211	119	548	365
Region21	chr2L	244624	245052	.	429	160	524	66	232	365	267	61	92	183	190	9	28	15	96	73
Region22	chr2L	245455	246592	.	1138	444	1707	161	551	1305	873	178	246	415	391	38	85	52	223	175
Region23	chr2L	246879	251288	.	4410	3709	10658	1377	3623	9883	4963	626	1100	1505	1346	134	301	156	813	562
Region24	chr2L	251891	252364	.	474	245	809	76	382	644	372	81	104	250	203	15	41	24	102	62
Region25	chr2L	271005	272257	.	1253	999	2545	181	997	2079	1089	184	294	510	391	29	98	58	221	135
Region26	chr2L	273303	274380	.	1078	665	1940	293	893	1597	853	156	250	455	330	22	83	44	180	120
Region27	chr2L	276759	281526	.	4768	3309	10001	1029	3665	7908	4529	650	1017	2062	1767	127	400	209	902	692
Region28	chr2L	281834	283704	.	1871	802	3324	291	1497	2951	1401	276	407	757	686	56	144	72	290	260
Region29	chr2L	284482	285700	.	1219	451	1515	110	710	1558	703	154	292	461	432	27	83	41	189	153
Region30	chr2L	292468	292813	.	346	168	488	46	173	387	224	55	72	197	134	7	27	13	62	66
Region31	chr2L	293995	294681	.	687	882	1919	227	828	2000	878	102	162	305	266	24	43	33	175	110
Region32	chr2L	295046	295712	.	667	894	1732	342	1041	1860	702	123	168	315	204	13	55	31	159	100
Region33	chr2L	297901	298484	.	584	347	1105	119	434	990	524	86	144	257	188	19	38	22	105	78
Region34	chr2L	403672	404712	.	1041	495	1486	150	411	1074	646	158	255	315	299	16	59	43	199	117
