# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "ppc" "-g" "transcript_id" "-T" "8" "-a" "/proj/snic2019-30-14/private/genomes/dm6/annotation/Drosophila_melanogaster.BDGP6.28.99.PROseq.gtf" "-o" "ChIPseq/ChIP_Toll_PPC.featureCount.count.tab.txt" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/gd7_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll10b_K27me3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_H3_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27ac_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_1_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_K27me3_2_R1.dmel.bowtie2.sorted.bam
FBtr0347010	211000022280328	9427	9577	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078171	2L	18470	18620	-	151	352	133	23	11	53	223	9	32	6	12	71	36	227	498	65	26
FBtr0330655	2L	21276	21426	-	151	327	101	33	11	43	215	11	29	9	3	42	25	170	363	26	22
FBtr0113008	2L	25055	25205	-	151	101	23	23	23	1	32	25	32	34	26	60	44	41	94	63	35
FBtr0309229	2L	59168	59318	-	151	29	37	43	38	5	21	55	56	32	39	37	33	21	58	84	29
FBtr0309226	2L	65304	65454	-	151	67	28	11	8	3	68	4	15	41	26	49	26	34	52	42	8
FBtr0306539	2L	66432	66582	+	151	257	73	11	7	34	87	6	11	25	23	35	24	112	172	26	17
FBtr0306536	2L	66993	67143	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306537	2L	66993	67143	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0306540	2L	71707	71857	+	151	16	28	15	10	4	28	13	27	28	17	36	31	20	25	55	17
FBtr0078101	2L	72337	72487	+	151	88	52	17	8	4	41	8	22	28	39	51	34	29	46	39	22
FBtr0331680	2L	73435	73585	+	151	70	50	40	15	4	31	23	36	30	25	33	38	25	35	48	16
FBtr0301733	2L	74079	74229	+	151	33	28	18	11	8	23	12	30	35	27	55	38	26	34	31	23
FBtr0306541	2L	76298	76448	+	151	44	28	18	15	4	14	20	19	24	21	51	31	27	37	38	7
FBtr0290323	2L	87287	87437	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0330637	2L	87287	87437	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078103	2L	94689	94839	+	151	192	55	13	7	13	90	7	16	15	9	46	23	153	355	14	17
FBtr0330636	2L	102330	102480	+	151	328	105	12	18	32	167	12	22	18	14	60	24	144	407	26	11
FBtr0301452	2L	106632	106782	-	151	355	155	31	27	39	129	22	30	25	21	41	28	186	435	16	13
FBtr0089437	2L	106853	107003	+	151	39	13	10	3	1	40	1	8	25	17	48	43	22	73	23	11
FBtr0089429	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0308091	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089428	2L	107711	107861	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089432	2L	107887	108037	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089430	2L	107887	108037	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0089433	2L	108039	108189	+	151	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
FBtr0089434	2L	108083	108233	+	151	133	34	6	2	26	63	2	8	6	4	8	7	47	121	9	2
FBtr0089436	2L	109544	109694	+	151	148	72	8	11	32	68	8	20	31	27	47	34	53	79	33	12
FBtr0330639	2L	114676	114826	+	151	307	146	10	11	55	136	9	27	33	15	39	25	79	212	26	21
FBtr0078160	2L	116388	116538	-	151	68	30	20	4	9	18	9	16	33	26	49	19	51	85	35	22
FBtr0100307	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078157	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0100310	2L	120531	120681	-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBtr0078158	2L	120642	120792	-	151	47	36	24	12	4	9	18	13	8	14	20	14	15	18	20	14
FBtr0078156	2L	121654	121804	-	151	63	45	34	25	4	29	29	61	28	52	46	31	33	67	54	24
FBtr0100379	2L	129145	129295	-	151	84	48	6	9	3	33	12	48	31	37	42	28	21	57	30	26
FBtr0078153	2L	130691	130841	-	151	37	33	13	21	2	31	15	40	51	29	48	33	18	51	36	14
