seqnames	start	end	width	strand	geneID	Chr	ATAC_Start	ATAC_End	Strand	Length	ATAC_factor	ATAC_direction	ATAC_Gd7	ATAC_Time	ATAC_Toll10b	ATAC_Toll9	PRO_Gd7	PRO_Toll10b	PRO_Toll9	PRO_Time	CBP_Gd7	CBP_Toll10b	CBP_Toll9	K27ac_geneID	K27ac_Chr	K27ac_Start	K27ac_End	K27ac_Strand	K27ac_Length	K27ac_factor	K27ac_direction	K27ac_Gd7	K27ac_Toll10b	K27ac_Toll9	enhancerID	enhancerGenotype	insituID	inSituLocation	inSituScore	geneID_unique	enhancer	inSitu	UMAP1	UMAP2	distance1	distance2
chr2L	28009	29052	1044	*	Region56	chr2L	28009	29052	.	1044	Toll10b	Down	1.53804743694947	-1.58105520089969	-2.44249803771083	1.40254886269862	1.08741632225848	-2.00518628321349	1.2613197265297	-2.59723767699369	1.07167595768528	-1.78414342656264	0.728461084368706	Region4	chr2L	27347	29393	.	2047	Gd7	Up	1.01261128436612	-0.6219088547716	-0.224546553515156	None	None	None	None	-1	Region56	0	0	8.14425659179688	11.1110763549805	8.14425659179688	13.7762452504023
chr2L	1421442	1422475	1034	*	Region171	chr2L	1421442	1422475	.	1034	Toll9	Up	0.512315658540573	0.0115754027038245	-1.97128768524925	2.11773892192789	-0.170810964193372	-0.530666452443165	0.991339335805452	-1.13126901981234	-0.269636259474959	-0.314036663867269	0.837639289668835	Region82	chr2L	1420799	1421557	.	759	Toll9	Up	-0.209985573952389	-1.29888134144415	1.64734568548624	None	None	None	None	-1	Region171	0	0	10.5119066238403	9.65847969055176	10.5119066238403	14.2753777813807
chr2L	1421442	1422475	1034	*	Region171	chr2L	1421442	1422475	.	1034	Toll9	Up	0.512315658540573	0.0115754027038245	-1.97128768524925	2.11773892192789	-0.170810964193372	-0.530666452443165	0.991339335805452	-1.13126901981234	-0.269636259474959	-0.314036663867269	0.837639289668835	Region83	chr2L	1421932	1422978	.	1047	Toll9	Up	-0.346857922590575	-0.316117048726313	0.670147931370479	None	None	None	None	-1	Region171.1	0	0	10.3888349533081	9.62055683135986	10.3888349533081	14.159202146749
chr2L	1517660	1518466	807	*	Region186	chr2L	1517660	1518466	.	807	Time	Down	0.529973380243366	-2.33878372122474	-1.82710774174496	1.88830240093369	0.314628990884276	-1.69634694338893	1.93494139063339	-3.28927897220375	-0.528515367860314	0.0374441464894661	0.768059347889094	Region88	chr2L	1517411	1518017	.	607	Gd7	Up	0.244768276189774	-0.0229881650443277	-0.197039745811414	None	None	None	None	-1	Region186	0	0	8.12514495849609	11.1288404464722	8.12514495849609	13.7792986134857
chr2L	1517660	1518466	807	*	Region186	chr2L	1517660	1518466	.	807	Time	Down	0.529973380243366	-2.33878372122474	-1.82710774174496	1.88830240093369	0.314628990884276	-1.69634694338893	1.93494139063339	-3.28927897220375	-0.528515367860314	0.0374441464894661	0.768059347889094	Region89	chr2L	1518382	1519957	.	1576	Gd7	Up	0.364100235861052	-0.164858548287962	-0.146614316623341	None	None	None	None	-1	Region186.1	0	0	8.13740158081055	11.1382961273193	8.13740158081055	13.7941634435451
chr2L	1886347	1887109	763	*	Region209	chr2L	1886347	1887109	.	763	Toll10b	Down	1.53537295091671	0.871003982442669	-3.00409155048572	2.20683805021027	-0.116750708080047	-1.18985269913775	1.8410300977883	0.771159713584953	-0.705452352325278	-0.652143010801289	1.96474141975203	Region103	chr2L	1886800	1888417	.	1618	Toll9	Up	-0.0252656071320102	-2.80163614842194	3.16395733217557	None	None	None	None	-1	Region209	0	0	10.6532821655273	10.2295351028442	10.6532821655273	14.7694214280271
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7063	None	0	Region229.4	0	0	12.4687643051147	7.10509204864502	12.4687643051147	14.3510423424998
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7063	None	0	Region229.4	0	0	12.4661617279053	7.10184526443481	12.4661617279053	14.3471737421091
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7063	None	0	Region229.4	0	0	12.4670095443726	7.10298871994019	12.4670095443726	14.3484764255678
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7063	None	0	Region229.4	0	0	12.4654674530029	7.10273504257202	12.4654674530029	14.3470109746545
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7064	procephalic_ectoderm_AISN	4	Region229.5	0	0	12.4687643051147	7.10509204864502	12.4687643051147	14.3510423424998
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7064	procephalic_ectoderm_AISN	4	Region229.5	0	0	12.4661617279053	7.10184526443481	12.4661617279053	14.3471737421091
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7064	procephalic_ectoderm_AISN	4	Region229.5	0	0	12.4670095443726	7.10298871994019	12.4670095443726	14.3484764255678
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7064	procephalic_ectoderm_AISN	4	Region229.5	0	0	12.4654674530029	7.10273504257202	12.4654674530029	14.3470109746545
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region229.6	0	1	12.4687643051147	7.10509204864502	12.4687643051147	14.3510423424998
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region229.6	0	1	12.4661617279053	7.10184526443481	12.4661617279053	14.3471737421091
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region229.6	0	1	12.4670095443726	7.10298871994019	12.4670095443726	14.3484764255678
chr2L	2162298	2164218	1921	*	Region229	chr2L	2162298	2164218	.	1921	Time	Up	-0.17899958246707	1.27109598233014	0.315841689629044	-0.208255919819608	-0.56041379565898	-0.714113162939565	1.8079900451441	2.1320233581417	-0.412687555468025	0.654696155592475	-0.2372272214145	Region116	chr2L	2163998	2164717	.	720	Toll10b	Down	1.55358019316007	-1.61437773830628	0.39568277158347	None	None	region 7065	dorsal_ectoderm_AISN_broad	4	Region229.6	0	1	12.4654674530029	7.10273504257202	12.4654674530029	14.3470109746545
