# Program:featureCounts v2.0.0; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Genrich/zld.genrich.encode.narrowPeak.merged.SAF" "-o" "ChIPseq/zld.featureCount.count.tab.txt" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam" "./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam" "./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_zld_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep1.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_zld_rep2.dm6.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_2_R1.dmel.bowtie2.sorted.bam	./ChIP_seq_mapped_dm6/bam_dmel/Toll910_Input_1_R1.dmel.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep5.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep3.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Tol10b_WCE_rep4.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/Toll10b_WCE_rep2.dm6.bowtie2.sorted.bam	./Zetlinger_ChIP-mapped/bam_dm6/gd7_WCE_rep1.dm6.bowtie2.sorted.bam
Region1	chr2L	267	467	.	201	178	131	597	223	61	74	21	84	5	4	11	49	4
Region2	chr2L	754	1848	.	1095	636	521	2012	923	162	296	94	321	23	19	40	119	42
Region3	chr2L	2065	2304	.	240	193	139	627	269	59	95	18	86	9	8	11	47	10
Region4	chr2L	2576	2815	.	240	174	156	637	269	58	81	28	85	7	6	12	50	10
Region5	chr2L	3080	3230	.	151	156	138	526	239	53	71	19	67	6	5	3	33	8
Region6	chr2L	3483	4148	.	666	421	339	1352	632	150	203	44	216	21	12	17	94	19
Region7	chr2L	4402	4612	.	211	166	163	614	287	45	78	19	96	8	13	10	39	6
Region8	chr2L	4898	5204	.	307	318	278	574	267	95	168	111	226	7	14	14	78	8
Region9	chr2L	5498	6012	.	515	813	944	1922	1368	61	159	351	627	89	210	160	313	369
Region10	chr2L	18429	19046	.	618	478	532	1367	951	95	203	125	202	18	46	18	134	65
Region11	chr2L	21237	21520	.	284	362	344	691	443	34	77	61	69	7	15	12	74	32
Region12	chr2L	26993	27509	.	517	874	1577	1289	2926	72	133	245	238	14	49	27	105	82
Region13	chr2L	27956	29026	.	1071	1038	1846	922	2409	155	262	426	398	24	67	61	194	135
Region14	chr2L	35532	35939	.	408	493	595	780	498	57	121	148	138	4	26	18	70	46
Region15	chr2L	66705	67110	.	406	315	652	506	787	55	129	176	179	19	35	22	89	50
Region16	chr2L	87308	87820	.	513	532	919	1070	881	87	142	114	123	8	36	22	70	54
Region17	chr2L	89205	89518	.	314	284	752	111	252	53	86	92	98	8	24	12	68	33
Region18	chr2L	90104	90478	.	375	64	114	536	1674	64	89	107	106	13	30	14	54	49
Region19	chr2L	91314	91919	.	606	866	1989	563	1458	92	160	324	293	8	48	32	122	90
Region20	chr2L	102235	102425	.	191	141	294	255	259	38	73	67	62	2	14	7	39	29
Region21	chr2L	107777	107989	.	213	166	213	245	274	35	63	71	58	9	22	9	52	34
Region22	chr2L	108907	109388	.	482	190	290	444	927	83	129	268	204	20	38	23	109	83
Region23	chr2L	199411	199620	.	210	162	215	194	317	39	68	114	92	3	14	12	49	44
Region24	chr2L	207232	207462	.	231	230	317	390	285	48	67	91	94	5	22	12	52	43
Region25	chr2L	220438	220807	.	370	380	777	442	705	50	92	208	149	20	26	22	88	36
Region26	chr2L	221736	222652	.	917	936	1866	1311	2942	133	218	487	418	27	62	45	192	127
Region27	chr2L	222921	223468	.	548	561	1098	672	942	87	138	239	221	10	32	25	141	88
Region28	chr2L	224075	224690	.	616	523	912	699	1256	83	168	276	268	14	44	36	147	91
Region29	chr2L	249081	249519	.	439	367	798	592	1132	74	139	242	202	6	23	16	104	47
Region30	chr2L	250724	251196	.	473	287	440	507	459	89	109	131	127	13	32	14	89	72
Region31	chr2L	273588	273758	.	171	171	189	315	197	26	52	57	39	6	10	6	27	17
Region32	chr2L	276997	277450	.	454	435	532	626	691	66	118	243	179	10	22	13	97	66
Region33	chr2L	278552	279049	.	498	516	926	678	1971	81	115	271	235	12	54	30	118	63
Region34	chr2L	282205	282953	.	749	728	1268	920	2593	108	156	405	351	22	63	37	145	121
Region35	chr2L	283834	284220	.	387	477	828	602	856	78	102	200	153	5	30	14	87	57
Region36	chr2L	295033	295241	.	209	158	165	244	242	53	82	61	42	3	12	8	41	36
Region37	chr2L	297736	297996	.	261	378	477	573	470	46	88	109	91	7	18	9	60	32
Region38	chr2L	305614	306025	.	412	318	413	584	346	65	110	107	118	5	19	14	61	51
Region39	chr2L	377763	378028	.	266	380	519	272	282	38	75	156	64	7	16	9	26	28
Region40	chr2L	414658	415268	.	611	485	562	808	742	101	159	178	216	19	36	27	98	57
Region41	chr2L	419563	420139	.	577	416	595	758	583	104	158	174	166	13	36	24	100	48
Region42	chr2L	421364	421607	.	244	289	417	415	454	47	78	98	76	2	19	10	47	38
Region43	chr2L	431693	431942	.	250	242	491	345	595	34	74	155	131	4	18	6	50	31
Region44	chr2L	452956	453211	.	256	169	395	261	333	31	68	104	110	8	17	7	53	34
Region45	chr2L	490083	490410	.	328	612	624	683	496	58	94	106	72	8	28	10	93	44
Region46	chr2L	490621	490882	.	262	205	316	433	505	27	72	122	82	4	22	8	42	28
Region47	chr2L	517805	519774	.	1970	3796	8649	3255	4686	242	426	767	597	36	137	87	319	229
Region48	chr2L	521055	521283	.	229	140	233	242	253	35	53	98	73	3	29	9	60	25
Region49	chr2L	523022	523916	.	895	1001	2390	1138	2358	125	239	383	325	19	52	29	170	136
Region50	chr2L	540561	541199	.	639	638	765	780	605	107	143	152	149	15	31	24	122	82
Region51	chr2L	542374	542713	.	340	293	474	365	323	55	93	110	99	3	25	16	46	35
Region52	chr2L	543824	544819	.	996	2034	3424	1336	1585	147	198	677	542	19	70	52	169	114
Region53	chr2L	559379	559656	.	278	186	284	388	243	40	74	89	83	1	12	7	38	37
Region54	chr2L	563985	564405	.	421	1038	1340	975	872	64	137	210	145	6	34	16	76	54
Region55	chr2L	567874	568388	.	515	314	540	582	599	81	105	177	138	17	31	10	68	52
Region56	chr2L	573968	574593	.	626	1154	1529	2491	1655	85	144	326	171	9	42	22	90	68
Region57	chr2L	594613	595052	.	440	738	1605	1109	1665	58	121	195	132	7	35	20	88	69
Region58	chr2L	597815	598157	.	343	372	487	460	737	51	79	182	116	8	32	20	66	52
Region59	chr2L	600583	600940	.	358	399	609	308	611	48	88	145	96	9	24	17	61	45
Region60	chr2L	601617	601948	.	332	194	450	124	221	53	78	131	79	5	22	10	50	37
Region61	chr2L	602422	602600	.	179	250	328	313	256	31	55	30	39	13	11	4	39	16
Region62	chr2L	708236	708585	.	350	264	481	311	448	50	92	139	78	3	33	13	42	35
Region63	chr2L	740105	740347	.	243	764	673	1313	700	54	59	95	89	10	15	7	37	37
Region64	chr2L	815866	816081	.	216	214	292	537	247	33	72	65	70	9	15	6	35	24
Region65	chr2L	819480	820271	.	792	903	1081	1920	1070	126	172	342	289	12	57	41	85	95
Region66	chr2L	821272	821682	.	411	553	699	823	763	67	120	192	150	3	32	15	84	57
Region67	chr2L	825583	826837	.	1255	1225	1986	2100	3570	156	265	591	495	40	101	48	274	182
Region68	chr2L	849678	850425	.	748	3533	6473	4564	8569	106	178	451	176	11	45	31	103	82
Region69	chr2L	850833	851244	.	412	1022	1441	1440	1473	45	113	216	173	5	32	20	84	58
Region70	chr2L	852587	853109	.	523	788	1100	2450	1711	69	115	248	179	16	23	21	86	67
Region71	chr2L	855255	855587	.	333	845	1032	1342	779	39	65	108	92	6	22	14	46	42
Region72	chr2L	865755	865967	.	213	219	315	219	267	38	70	106	111	8	17	5	37	29
Region73	chr2L	867875	868134	.	260	181	279	304	362	51	74	108	79	4	23	8	55	35
Region74	chr2L	870771	871125	.	355	231	356	343	468	72	113	128	123	10	21	16	84	60
Region75	chr2L	871335	871653	.	319	342	472	472	527	61	91	119	129	13	28	15	64	50
Region76	chr2L	901001	901787	.	787	383	724	592	1554	104	176	334	321	19	55	35	193	101
Region77	chr2L	1006537	1006870	.	334	519	540	1036	546	39	92	64	59	3	14	10	25	14
Region78	chr2L	1063139	1063390	.	252	210	287	455	672	29	72	113	78	8	20	14	42	25
Region79	chr2L	1066192	1066956	.	765	603	1337	839	2036	98	152	313	225	21	66	27	139	103
Region80	chr2L	1067930	1069087	.	1158	971	2131	1343	3445	173	282	431	434	27	65	53	248	137
Region81	chr2L	1076445	1078065	.	1621	2516	4031	4015	6029	214	384	584	570	38	92	60	285	186
Region82	chr2L	1108169	1108740	.	572	970	1312	1413	1311	72	146	229	207	17	40	17	111	66
Region83	chr2L	1118206	1118439	.	234	218	277	372	343	29	71	87	94	8	25	12	52	28
Region84	chr2L	1118898	1120248	.	1351	2507	4866	3069	7051	172	255	584	595	28	77	50	230	155
Region85	chr2L	1142700	1142941	.	242	215	312	423	308	36	61	113	98	3	11	7	48	21
Region86	chr2L	1158080	1158325	.	246	210	276	330	276	42	68	59	71	5	26	11	51	41
Region87	chr2L	1158652	1159017	.	366	493	655	586	729	63	117	214	155	9	29	16	78	70
