Enhancer_ID	Gene_geneID	EnhancerDistance	PROseq_Classification	ATACseq_Classification	UNIPROTname	geneFunc	geneName	geneFuncFullText
Region149	FBgn0003310	3898	Time Up	Toll10b Down	P42519	Protein Star	S	<ul><li>Involved in EGF receptor signaling. Has an early role in photoreceptor development. Interacts with the receptor torpedo in the eye.</ul>
Region195	FBgn0011570	25647	Toll10b Up	Toll9 Down	P48603	F-actin-capping protein subunit beta	cpb	<ul><li>F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments.</ul>
Region196	FBgn0011570	24797	Toll10b Up	Gd7 Up	P48603	F-actin-capping protein subunit beta	cpb	<ul><li>F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments.</ul>
Region229	FBgn0000097	1806	Time Up	Time Up	Q01842	Ets DNA-binding protein pokkuri	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region230	FBgn0000097	3929	Time Up	Time Up	Q01842	Ets DNA-binding protein pokkuri	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region231	FBgn0000097	11721	Time Up	Toll9 Up	Q01842	Ets DNA-binding protein pokkuri	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region254	FBgn0000490	2327	Gd7 Up	Gd7 Up	P07713	Protein decapentaplegic	dpp	<ul><li>Required during oogenesis for eggshell patterning and dorsal/ventral patterning of the embryo. Acts as a morphogen during embryogenesis to pattern the dorsal/ventral axis, specifying dorsal ectoderm and amnioserosa cell fate within the dorsal half of the embryo; this activity is antagonized by binding to sog and tsg. Induces the formation of visceral mesoderm and the heart in early embryos. Required later in embryogenesis for dorsal closure and patterning of the hindgut. Also functions postembryonically as a long-range morphogen during imaginal disk development; is responsible for the progression of the morphogenetic furrow during eye development. Patterns the wing imaginal disk along its anterior/posterior axis and has a role in positioning pro-veins. Also required to subdivide the wing disk along the proximal/distal axis into body wall (notum) and wing. Ensures the correct architecture of wing epithelial cells. Has multiple roles in the developing tracheal system, controlling directed tracheal cell migration during embryogenesis and later specifying the fate of fusion cells in the tracheal branches. Required for viability of larvae. Essential for the maintenance and division of germline stem cells in the ovary. Signals via the type I receptor tkv, the type II receptor punt, and in some tissues via the type I receptor sax, in a signaling cascade that leads to activation and repression of target genes.</ul>
Region323	FBgn0261560	1652	Gd7 Up	Time Up	Q9XZ56	Eukaryotic translation initiation factor 4E-binding protein	Thor	<ul><li>Repressor of translation initiation that regulates eIF4E1 activity by preventing its assembly into the eIF4F complex (PubMed:11389445, PubMed:19804760, PubMed:25702871). Hypophosphorylated form competes with eIF4G1 and strongly binds to eIF4E1, leading to repress translation (PubMed:25702871). In contrast, hyperphosphorylated form dissociates from eIF4E1, allowing interaction between eIF4G1 and eIF4E1, leading to initiation of translation (PubMed:25702871). Acts as a regulator of various biological processes, such as innate immunity, cell growth or synaptic transmission (PubMed:10811906, PubMed:11389445, PubMed:27525480). Acts downstream of phosphoinositide-3-kinase (PI3K) to regulate cell growth (PubMed:11389445). Extends lifespan upon dietary restriction by regulating the mitochondrial translation (PubMed:19804760). Acts as a regulator of lifespan in response to cold by regulating the mitochondrial translation (PubMed:28827349). Acts as a negative regulator of presynaptic release of neurotransmitter in motor neurons: Thor expression is induced in response to insulin signaling, leading to prevent of translation of complexin (cpx), a protein known to regulate the exocytosis of synaptic vesicles (PubMed:27525480). Acts as a negative regulator of synaptic strength at the neuromuscular junction: Thor expression in response to acute fasting prevents translation, thereby suppressing retrograde synaptic enhancement (PubMed:27916456).</ul>
Region385	FBgn0010473	11418	Gd7 Up	Time Down	Q967D7	Protein turtle	tutl	<ul><li>Essential protein that plays a role in the establishment of coordinated motor control (PubMed:11312296). In the developing eye, involved in axonal targeting of the R7 photoreceptor (PubMed:24174674).</ul>
Region645	FBgn0031969	2430	Time Up	Gd7 Down	B7Z031	Protein peste	pes	<ul><li>(Microbial infection) Plays a role in mycobacterial infection. Mediates infection by M.fortuitum and uptake of M.smegmatis.</ul>
Region740	FBgn0002973	10112	Time Down	Gd7 Down	P16554	Protein numb	numb	<ul><li>Required in determination of cell fate during sensory organ formation in embryos (PubMed:2752427). Restricts developmental potential and promote maturation of intermediary neuronal progenitor (INP) cells probably acting as an antagonist of Notch signaling (PubMed:24550111, PubMed:28899667, PubMed:18342578).</ul>
Region1132	FBgn0010382	74302	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1134	FBgn0010382	40703	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1136	FBgn0010382	5711	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1251	FBgn0015609	9062	Toll10b Up	Toll10b Up	O15943	Neural-cadherin	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
Region1265	FBgn0032671	6324	Gd7 Down	Toll9 Up	Q9VJ97	2-oxoglutarate and iron-dependent oxygenase JMJD4 homolog		<ul><li></ul>
Region1337	FBgn0086447	4661	Toll9 Down	Time Down	Q9VIZ0	Probable DNA-directed RNA polymerases I and III subunit RPAC2	l(2)37Cg	<ul><li>DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common core component of RNA polymerases I and III which synthesize ribosomal RNA precursors and small RNAs, such as 5S rRNA and tRNAs, respectively (By similarity).</ul>
Region1338	FBgn0010300	12705	Toll9 Up	Gd7 Down	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1341	FBgn0010300	7150	Toll9 Up	Toll9 Up	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1343	FBgn0010300	5368	Toll9 Up	Toll10b Down	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1344	FBgn0010300	1794	Toll9 Up	Time Down	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1353	FBgn0024245	16072	Time Down	Toll10b Up	Q9V422	Tyrosine-protein kinase Dnt	dnt	<ul><li>May play an essential role in neuronal pathway recognition and ventral muscle attachment site selection.</ul>
Region1356	FBgn0024245	11254	Time Down	Toll9 Up	Q9V422	Tyrosine-protein kinase Dnt	dnt	<ul><li>May play an essential role in neuronal pathway recognition and ventral muscle attachment site selection.</ul>
Region1358	FBgn0024245	4725	Time Down	Toll9 Up	Q9V422	Tyrosine-protein kinase Dnt	dnt	<ul><li>May play an essential role in neuronal pathway recognition and ventral muscle attachment site selection.</ul>
Region1608	FBgn0003866	32542	Time Up	Toll10b Down	P22265	Protein teashirt	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
