Geneid	Chr	Start	End	Strand	Length	factor	direction	PC1	PC2	distance	Gd7	Toll10b	Toll9
Region1	chr2L	17384	18681	.	1298	Toll10b	Up	-0.954477584126562	-0.302071997660996	1.00113682899541	-0.644097437011776	0.991642608536817	-0.524713092196557
Region2	chr2L	20214	21391	.	1178	Toll10b	Up	-1.3136376786412	-0.197543993781139	1.32840791183463	-0.684852643975872	1.32815754451393	-0.86481562344942
Region3	chr2L	26270	27063	.	794	Gd7	Up	-0.0668215689953131	1.32874935038905	1.33042848670732	1.20221391751519	-0.157193969381161	-0.919314171272372
Region5	chr2L	34695	35189	.	495	Toll9	Up	0.997228927033376	-0.924093152850761	1.35956378594673	-0.472532782290337	-0.827941606251746	1.35874351935886
Region6	chr2L	35908	36490	.	583	Toll9	Up	0.683190098862209	-0.984669638576869	1.19846694085338	-0.648590796335681	-0.508190230397999	1.16072969665452
Region8	chr2L	88477	91752	.	3276	Toll9	Down	-2.9574440777217	4.70968345083691	5.56125828207414	3.22085575710101	2.12482144058611	-5.31701993313892
Region9	chr2L	94740	95267	.	528	Toll9	Up	0.723937543911319	-0.701778316825901	1.00825511327806	-0.371617503090104	-0.595850486206719	1.00660357382889
Region12	chr2L	107378	109091	.	1714	Toll10b	Up	-1.23680060764988	0.310359840726534	1.27514664796599	-0.186167241452031	1.16714530070349	-1.13875033744763
Region13	chr2L	114663	115221	.	559	Toll9	Down	-1.27774850126812	0.469946765230884	1.36142983463853	-0.0543668147940365	1.18072099257462	-1.27407378255008
Region29	chr2L	284482	285700	.	1219	Gd7	Up	0.873373389256962	0.722467960817718	1.13346417299812	1.00153032821743	-0.9822645041658	0.188484861613798
Region32	chr2L	295046	295712	.	667	Toll9	Down	-1.14611162484239	0.83444459233487	1.41769871068425	0.332766176865309	0.989761320570916	-1.41278320242056
Region39	chr2L	441220	442900	.	1681	Gd7	Up	2.11259029359474	2.47541474090083	3.25433801072658	3.09511904580041	-2.49817468725033	-0.0199525688445878
Region42	chr2L	519452	520494	.	1043	Gd7	Up	1.10238789195065	5.13367040059882	5.25069812942087	5.16505890025124	-1.94857069568281	-2.522330023408
Region44	chr2L	542993	544648	.	1656	Gd7	Up	1.31719252279581	4.68598576342831	4.86759270247234	4.83353694196498	-2.08517058397235	-2.06709481666192
Region45	chr2L	564208	564664	.	457	Toll9	Up	0.832416687704452	-0.579344104817173	1.01417805821032	-0.217006831953875	-0.723344034770568	1.00863597262064
Region47	chr2L	573690	575013	.	1324	Toll9	Up	1.12821235520748	-1.13398387958098	1.59961950400473	-0.616385296336515	-0.921830155735865	1.59508219535841
Region48	chr2L	602613	603309	.	697	Gd7	Down	0.107215335281814	-2.18872829660016	2.19135270653947	-1.98138920868053	0.261744643247269	1.5121435316974
Region49	chr2L	810636	810954	.	319	Toll9	Up	0.849910009244201	-0.884765101604906	1.22684811970815	-0.492526887796413	-0.689315757256333	1.22156053362747
Region51	chr2L	819943	820529	.	587	Toll9	Up	1.09707886619749	-0.8142594132586	1.36623586204484	-0.332864681764942	-0.944813080570764	1.36248492388879
Region54	chr2L	847538	849725	.	2188	Toll10b	Down	1.36239090223648	0.730607998479762	1.54592917623652	1.19604709080445	-1.46570833893177	0.553181046929345
Region57	chr2L	867769	868380	.	612	Gd7	Up	1.0395928689185	1.31143075695247	1.6735005119172	1.60929322790497	-1.24499860904693	-0.0708154568071863
Region60	chr2L	1066675	1067956	.	1282	Toll10b	Down	0.945979965156586	0.462512515976694	1.05299379006372	0.78909524261901	-1.01019995152863	0.413385265569912
Region62	chr2L	1069003	1069619	.	617	Toll10b	Up	-1.28619517400191	-0.0736629810705806	1.28830286051301	-0.559892720005423	1.28030766593298	-0.925046055371218
Region63	chr2L	1076062	1076448	.	387	Gd7	Down	-0.357410460241384	-0.983787866457426	1.046699958574	-1.04569118437094	0.517493944057728	0.372776079277992
Region65	chr2L	1080941	1081434	.	494	Toll9	Up	0.401451800838741	-0.975598707832238	1.05496748154652	-0.747943127026574	-0.231973209096693	0.941619912295553
Region67	chr2L	1120174	1120834	.	661	Gd7	Up	-0.0202191487200602	1.56035971604162	1.56049071045631	1.43404243627631	-0.242017184041652	-1.03548194904239
Region78	chr2L	1184076	1184475	.	400	Toll9	Up	0.368102466820351	-1.21647403713906	1.27094787820455	-0.983264635680283	-0.158659611481337	1.07387327390188
Region82	chr2L	1420799	1421557	.	759	Toll9	Up	1.38335079593411	-0.813371985389993	1.60475338018924	-0.222577202151454	-1.22717117655433	1.57851420849195
Region84	chr2L	1462698	1463723	.	1026	Toll10b	Up	-2.42112702132085	-0.454208791026186	2.46336389500525	-1.3455039310301	2.46301749646271	-1.53499385088085
Region85	chr2L	1464154	1464460	.	307	Gd7	Down	-1.4646251162732	-1.18116909552322	1.88156508349763	-1.65145935407317	1.64213072706109	-0.335954654559596
Region86	chr2L	1473816	1474381	.	566	Toll9	Up	0.317460643525998	-1.1685793199201	1.21093306467899	-0.958374787985537	-0.116776952525005	1.00424063828666
Region87	chr2L	1502426	1502864	.	439	Gd7	Down	-0.0621462022779829	-1.40990744874695	1.41127643092688	-1.32652006007243	0.297956034648019	0.87479207342197
Region93	chr2L	1679433	1679778	.	346	Gd7	Up	0.18604348456608	1.29965725072885	1.31290561257143	1.27202582973067	-0.401586414559001	-0.708961418453706
Region96	chr2L	1715354	1715821	.	468	Toll9	Up	0.602552516816003	-0.930920978281435	1.10891090865126	-0.629761974288547	-0.437720262544459	1.06457319498944
Region100	chr2L	1731896	1732291	.	396	Toll9	Up	0.726390034197776	-1.09807601904835	1.3165915939998	-0.736859193254802	-0.531738679668652	1.26756373738329
Region102	chr2L	1884593	1886244	.	1652	Toll10b	Down	1.97507172267988	-0.0124329199699927	1.97511085441518	0.743759452349537	-1.94495400849407	1.50257951863315
Region103	chr2L	1886800	1888417	.	1618	Toll9	Up	2.98699578397935	-1.27739200248238	3.24867267380331	-0.0381145399572613	-2.73015845344448	3.0953046798993
Region108	chr2L	2013455	2013847	.	393	Toll10b	Up	-1.79746307362878	-0.632829503619145	1.90560926784845	-1.27206686295084	1.87819108761624	-0.946310024505892
Region114	chr2L	2160230	2161425	.	1196	Toll9	Up	1.3193219769155	-0.867404997109319	1.57892428817295	-0.296987736224549	-1.15498013378247	1.56539386023412
Region116	chr2L	2163998	2164717	.	720	Gd7	Up	1.27909907215425	1.12099444388534	1.70080068779609	1.5249146261248	-1.44913572201152	0.234918131948162
Region117	chr2L	2165440	2167952	.	2513	Toll10b	Down	2.65007046807784	-0.418048015577091	2.68284133505994	0.627083377769132	-2.54227940127617	2.27851796037321
Region118	chr2L	2169801	2172170	.	2370	Toll9	Up	2.91115388146857	-1.54298447465689	3.29478648938315	-0.312523443993726	-2.61080589446596	3.21156614828514
Region119	chr2L	2172844	2173303	.	460	Toll10b	Down	2.33289524148481	0.14881267246833	2.33763671669266	1.02957865148409	-2.32476876012698	1.66790456847166
Region120	chr2L	2174330	2175528	.	1199	Toll9	Up	2.15106334371922	-0.729217278442931	2.27130608854735	0.148747362781837	-1.99811592264347	2.1043874275315
Region121	chr2L	2175768	2176029	.	262	Toll10b	Down	1.14421332177019	-0.0273626496081586	1.14454044939878	0.412252503336448	-1.12338090462138	0.883666414454784
Region122	chr2L	2176586	2177008	.	423	Toll9	Up	0.958229981897457	-0.649578659867995	1.15765155965131	-0.233793902095189	-0.835580962712902	1.14975365471303
Region123	chr2L	2177225	2178686	.	1462	Toll9	Up	2.37408699229478	-1.17198409981299	2.64760944574492	-0.175087659093407	-2.14364377407528	2.56262627645676
Region124	chr2L	2182495	2183529	.	1035	Toll10b	Down	0.933906713154729	0.489685139607367	1.054501438988	0.809586086051962	-1.00285971859562	0.386484155374191
Region126	chr2L	2215916	2216265	.	350	Gd7	Up	1.14935269308219	1.29287059197051	1.72989189855246	1.63411466422046	-1.35008487059434	0.0243698914389505
Region130	chr2L	2356793	2357356	.	564	Toll9	Up	0.323390063135243	-1.31030171398653	1.34961909982434	-1.0870590804128	-0.0988302114327303	1.1013870729855
Region131	chr2L	2364461	2366727	.	2267	Toll10b	Down	1.03462627953971	0.197633937554659	1.05333314368606	0.578244610399763	-1.05312101542095	0.653641048039748
Region134	chr2L	2420759	2421260	.	502	Toll9	Up	1.02131066170753	-1.234071931607	1.60187671189068	-0.749744890855176	-0.79964308884238	1.57963318126239
Region135	chr2L	2455137	2456534	.	1398	Gd7	Up	2.74707982199785	4.8476712013778	5.57192638367516	5.52970892335389	-3.52190807067049	-1.0908733911555
Region136	chr2L	2456765	2459022	.	2258	Gd7	Up	2.74104008354917	5.81962969486008	6.4328368955633	6.42549006846789	-3.67912406800922	-1.73092220577428
Region137	chr2L	2461123	2461377	.	255	Gd7	Up	1.37720139438167	3.41871289123225	3.68568603022075	3.68552224888402	-1.93158112504682	-1.19312961892954
Region144	chr2L	2747923	2748751	.	829	Toll9	Down	-0.576444523520651	1.31979225149226	1.44018744467377	0.999062876694501	0.346700037744399	-1.29906739140323
Region150	chr2L	2814475	2814895	.	421	Toll10b	Down	1.40513232457069	0.918262483726189	1.67857166620089	1.38578392276657	-1.53934614560875	0.46283073312742
Region153	chr2L	2874869	2875430	.	562	Gd7	Up	0.0142263020964641	1.40646362020857	1.40653556749965	1.30501387288436	-0.250138079151343	-0.908799355156564
Region156	chr2L	2968821	2969672	.	852	Toll10b	Up	-0.974979722368367	-0.305774240900221	1.02180396624186	-0.655358124341034	1.01247530099895	-0.537805593264036
