EnhancerID	Gene_geneID	EnhancerDistance	PROseq_Classification	ATACseq_Classification	UNIPROTname	geneFunc	geneName	geneFuncFullText
Region196	FBgn0011570	24797	Toll10b Up	Gd7 Up	P48603	F-actin-capping protein subunit beta	cpb	<ul><li>F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments.</ul>
Region229	FBgn0000097	1806	Time Up	Time Up	Q01842	Ets DNA-binding protein pokkuri	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
Region385	FBgn0010473	11418	Gd7 Up	Time Down	Q967D7	Protein turtle	tutl	<ul><li>Essential protein that plays a role in the establishment of coordinated motor control (PubMed:11312296). In the developing eye, involved in axonal targeting of the R7 photoreceptor (PubMed:24174674).</ul>
Region645	FBgn0031969	2430	Time Up	Gd7 Down	B7Z031	Protein peste	pes	<ul><li>(Microbial infection) Plays a role in mycobacterial infection. Mediates infection by M.fortuitum and uptake of M.smegmatis.</ul>
Region740	FBgn0002973	10112	Time Down	Gd7 Down	P16554	Protein numb	numb	<ul><li>Required in determination of cell fate during sensory organ formation in embryos (PubMed:2752427). Restricts developmental potential and promote maturation of intermediary neuronal progenitor (INP) cells probably acting as an antagonist of Notch signaling (PubMed:24550111, PubMed:28899667, PubMed:18342578).</ul>
Region1132	FBgn0010382	74302	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1134	FBgn0010382	40703	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1136	FBgn0010382	5711	Time Down	Gd7 Down	P54733	G1/S-specific cyclin-E	CycE	<ul><li>Essential for the control of the cell cycle at the G1/S (start) transition. Targeted by archipelago for degradation by the SFC ubiquitin ligase complex.</ul>
Region1251	FBgn0015609	9062	Toll10b Up	Toll10b Up	O15943	Neural-cadherin	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
Region1336	FBgn0086447	2609	Toll9 Down	Gd7 Down	Q9VIZ0	Probable DNA-directed RNA polymerases I and III subunit RPAC2	l(2)37Cg	<ul><li>DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common core component of RNA polymerases I and III which synthesize ribosomal RNA precursors and small RNAs, such as 5S rRNA and tRNAs, respectively (By similarity).</ul>
Region1339	FBgn0010300	10846	Toll9 Up	Time Down	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1340	FBgn0010300	8928	Toll9 Up	Gd7 Down	Q8MQJ9	Brain tumor protein	brat	<ul><li>A NHL-domain family protein that functions a translational repressor to inhibit cell proliferation (PubMed:11274060). Plays a central role in translation repression of hb mRNA by being recruited by nos and pum to the Nanos Response Element (NRE), a 16 bp sequence in the hb mRNA 3'-UTR (PubMed:11274060). Probably recruited by other proteins to repress translation of other mRNAs in other tissues (PubMed:11274060). Involved in the regulation of ribosomal RNA synthesis and cell growth (PubMed:11807032). Participates in abdominal segmentation and imaginal disk development (PubMed:11274060). During neuroblast division, segregates asymmetrically and inhibits self-renewal of one of the two daughter cells (PubMed:16564014). Together with the asymmetrically segregating transcription factor prospero ensures that the daughter cell will stop growing, exit the cell cycle, and differentiate into neurons possibly by modulating the function of dm in ganglion mother cells (GMC) (PubMed:11807032, PubMed:16564014). Restrics developmental potential of type II intermediary neuronal progenitor (INP) cells playing a role in proliferation and maturation of the neuroblasts (PubMed:24550111, PubMed:14561773, PubMed:22143802, PubMed:18342578).</ul>
Region1602	FBgn0003866	11262	Time Up	Time Down	P22265	Protein teashirt	tsh	<ul><li>Homeotic protein that acts downstream of Arm in the Wg cascade during embryogenesis to determine segment identity throughout the entire trunk. Acts cooperatively with other trunk homeotic proteins to repress head homeotic genes and therefore repress head segmental identity. Necessary, in combination with Scr, for the formation of the prothoracic segment. Promotes eye development in the dorsal region of the eye disk and suppresses eye development in the ventral region in combination with Wg-signaling and several early dorso-ventral eye patterning genes. Required for proper development of proximal leg segments. Has differential functions along the dorso-ventral axs of the antennal and leg disks. May play a role in wing hinge development. Possible involvement in chromatin structure for modulation of transcription. Binds DNA and can act as both a transcriptional repressor and activator. Positively regulates its own expression as well as that of Dll. Negatively regulates the expression of mod. Required for Wg-mediated transcriptional repression of Ubx in the midgut. Also represses transcription of lab in the midgut and is necessary for the proper formation of anterior and central midgut structures. Tiptop (tio) and teashirt (tsh) have, on the whole, common activities. Tio and tsh repress each other's expression and tsh has a crucial role for trunk patterning that is in part masked by ectopic expression of tiptop. Both genes share a common activity required for the activation of Ser and svb and the maintenance of en and wg.</ul>
Region1701	FBgn0026401	1628	Toll9 Up	Toll9 Up	Q7PLI2	Nipped-B protein	Nipped-B	<ul><li>Plays a structural role in chromatin. Involved in sister chromatid cohesion, probably via an interaction with the cohesin complex. Participates in the transcriptional activation mediated by remote enhancers on genes such as cut and Ubx, possibly by alleviating the cohesin-mediated blocking of enhancer-promoter communication.</ul>
Region1926	FBgn0003892	6452	Time Down	Toll10b Down	P18502	Protein patched	ptc	<ul><li>Segmentation polarity protein. Acts as a receptor for the hedgehog protein (HH). Associates with the smoothened protein (SMO) to transduce the hedgehog signal leading to the activation of wingless, decapentaplegic and patched itself. Participates in cell interactions that establish pattern within the segment and the imaginal disks during development. In the absence of HH, represses the constitutive signaling activity of smo through fused (FU).</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	P42283	Longitudinals lacking protein, isoform G	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	P42284	Longitudinals lacking protein, isoforms H/M/V	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q7KQZ4	Longitudinals lacking protein, isoforms A/B/D/L	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2108	FBgn0283521	4224	Toll9 Up	Time Up	Q9V5M3	Longitudinals lacking protein, isoforms N/O/W/X/Y	lola	<ul><li>Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo.</ul>
Region2517	FBgn0015371	8044	Toll10b Down	Toll9 Down	Q7YU81	Protein charlatan	chn	<ul><li>Probable transcription factor involved in the development of the adult pattern of macrochaetae. Required for accumulation of achaete (ac) and scute (sc) in proneural clusters. Probably acts by binding to the proneural cluster-specific enhancers of the ac/sc complex and increasing enhancer efficiency, thereby acting as a stimulator of ac/sc expression in proneural clusters. Also required for correct development of the embryonic/larval peripheral nervous system (PNS).</ul>
